file1=so_ai_zhixiao_search_feedback1.csv  行数=280
file2=so_ai_zhixiao_search_feedback2.csv  行数=280
共同 id 数=280  仅 file1=0  仅 file2=0
复核结果(verdict)不一致条数=104

      id | file1_verdict  | file2_verdict  | category
----------------------------------------------------------------------
    8720 | valid          | uncertain      | 搜索展现内容和网页内容不一致
    8723 | invalid        | uncertain      | 其他
    8728 | valid          | invalid        | 内容虚假、错误
    8732 | invalid        | uncertain      | 搜索展现内容和网页内容不一致
    8737 | invalid        | valid          | 其他
    8742 | valid          | invalid        | 搜索展现内容和网页内容不一致
    8749 | invalid        | valid          | 网站死链、打不开、内容已删除
    8755 | dead_link      | valid          | 内容异常（色情、赌博）
    8756 | dead_link      | valid          | 内容异常（色情、赌博）
    8757 | dead_link      | valid          | 内容异常（色情、赌博）
    8759 | invalid        | valid          | 搜索展现内容和网页内容不一致
    8761 | valid          | uncertain      | 内容异常（色情、赌博）
    8763 | invalid        | valid          | 网站死链、打不开、内容已删除
    8764 | invalid        | valid          | 网站死链、打不开、内容已删除
    8766 | valid          | invalid        | 网站死链、打不开、内容已删除
    8769 | dead_link      | valid          | 网站死链、打不开、内容已删除
    8774 | invalid        | valid          | 内容虚假、错误
    8775 | dead_link      | invalid        | 网站死链、打不开、内容已删除
    8776 | invalid        | uncertain      | 内容异常（色情、赌博）
    8778 | invalid        | valid          | 内容异常（色情、赌博）
    8779 | dead_link      | uncertain      | 内容异常（色情、赌博）
    8783 | dead_link      | valid          | 网站死链、打不开、内容已删除
    8784 | invalid        | uncertain      | 其他
    8786 | dead_link      | valid          | 网站死链、打不开、内容已删除
    8788 | dead_link      | valid          | 网站死链、打不开、内容已删除
    8790 | dead_link      | valid          | 网站死链、打不开、内容已删除
    8791 | dead_link      | valid          | 网站死链、打不开、内容已删除
    8793 | dead_link      | uncertain      | 网站死链、打不开、内容已删除
    8794 | dead_link      | valid          | 网站死链、打不开、内容已删除
    8801 | valid          | invalid        | 网站死链、打不开、内容已删除
    8802 |                | valid          | 其他问题及产品建议
    8805 |                | valid          | 广告信息质量差
    8806 |                | valid          | 广告信息质量差
    8810 |                | valid          | 广告信息质量差
    8811 | dead_link      | uncertain      | 内容异常（色情、赌博）
    8813 |                | valid          | 广告信息质量差
    8814 | invalid        | valid          | 网站死链、打不开、内容已删除
    8815 | invalid        | uncertain      | 内容侵权、侵犯隐私
    8830 | invalid        | valid          | 图片未打开、色情
    8832 | invalid        | valid          | 网站死链、打不开、内容已删除
    8833 | invalid        | valid          | 内容虚假、错误
    8835 | uncertain      | invalid        | 内容异常（色情、赌博）
    8837 | invalid        | uncertain      | 内容异常（色情、赌博）
    8847 | valid          | uncertain      | 网站死链、打不开、内容已删除
