[command] python /root/code/lunwne/lunwen/train_ig.py --num_epochs 200 --intent_source dynamic --num_hidden 256 --num_proj_hidden 256 --num_edge_hidden 32 --adv_lambda 0 --lambda_intent 0.1 --encoder hii --num_layers 2 --hii_heads 1 --icra_heads 1 --icra_dim 64 --sparsify_topk 10 --disable_candidate_edges --lambda_cand_bce 0 --lambda_rel_entropy 0.02 --cs_full_graph --cs_num_queries 40 --cs_topk 5,10,20,50,oracle --cs_w_list 0.18,0.2,0.22,0.24,0.26 --greedy_patience 1 --greedy_min_gain_tol 1e-4 --frontier_batch_size 2 --greedy_connectivity_boost 0 --greedy_select_mode first_drop --intent_rerank_alpha 0 --lambda_ic_spnm 0 --compute_structure_metrics --ckpt_interval 0 --cs_relations apa,apcpa,aptpa --dataset DBLP
[log] 运行日志写入: log/run_DBLP_20260805_135346.log
[config] cand_sources=embed num_cand_per_node=0 cand_label_mode=soft lambda_cand_bce=0.0 lambda_ic_spnm=0.0 ic_spnm_pos=20 ic_spnm_neg=256 ic_spnm_hard_pool=2048 ic_spnm_pos_mode=neighbor ic_spnm_frontier_ratio=0.5 ic_spnm_frontier_hops=2 cs_topk=(5, 10, 20, 50, 'oracle') cs_w_list=(0.18, 0.2, 0.22, 0.24, 0.26) greedy_patience=1 greedy_min_gain_tol=0.0001 frontier_batch_size=2 greedy_connectivity_boost=0.0 greedy_select_mode=first_drop include_query_in_pred=False eval_perturb=none:0.0 seed=123
Using CPU
Using GPU: NVIDIA GeForce RTX 2080 Ti
  [cs_full_graph] DBLP: merged ['apa.npz', 'apcpa.npz', 'aptpa.npz'] -> 8947540 directed edges (no sparsify)
/root/miniconda3/lib/python3.8/site-packages/scipy/sparse/_index.py:146: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
  [sparsify] apcpa.npz: 5000495 -> 80544 edges (avg_deg 1233 -> 20, top-k=10)
  [sparsify] aptpa.npz: 7043571 -> 77930 edges (avg_deg 1736 -> 19, top-k=10)
[data] 多关系 R=3: apa(7056 edges), apcpa(80544 edges), aptpa(77930 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+ICRA  R=3 hii_heads=1 icra_heads=1 icra_dim=64
(T) | Epoch=001, loss=7.7690, con=7.4164, intent=5.0267, rec=0.0023, this epoch 1.4611, total 1.4611  alpha=[apa:0.347, apcpa:0.335, aptpa:0.317]
(T) | Epoch=002, loss=7.5633, con=7.2921, intent=4.1367, rec=0.0076, this epoch 0.9077, total 2.3688
(T) | Epoch=003, loss=7.2953, con=7.0610, intent=3.6095, rec=0.0114, this epoch 0.9240, total 3.2928
(T) | Epoch=004, loss=7.1503, con=6.9493, intent=3.1890, rec=0.0107, this epoch 0.9237, total 4.2165
(T) | Epoch=005, loss=7.1068, con=6.9157, intent=2.9820, rec=0.0076, this epoch 0.9241, total 5.1406
(T) | Epoch=006, loss=7.0412, con=6.8474, intent=2.8644, rec=0.0100, this epoch 0.9254, total 6.0660
(T) | Epoch=007, loss=6.9866, con=6.7885, intent=2.7981, rec=0.0048, this epoch 0.9258, total 6.9918
(T) | Epoch=008, loss=6.9672, con=6.7644, intent=2.7453, rec=0.0049, this epoch 0.9268, total 7.9187
(T) | Epoch=009, loss=6.9680, con=6.7559, intent=2.7782, rec=0.0038, this epoch 0.9247, total 8.8434
(T) | Epoch=010, loss=6.9409, con=6.7334, intent=2.6683, rec=0.0031, this epoch 0.9262, total 9.7695  alpha=[apa:0.266, apcpa:0.379, aptpa:0.356]
(T) | Epoch=011, loss=6.9219, con=6.7102, intent=2.6433, rec=0.0026, this epoch 0.9266, total 10.6961
(T) | Epoch=012, loss=6.9157, con=6.6992, intent=2.6214, rec=0.0015, this epoch 0.9251, total 11.6213
(T) | Epoch=013, loss=6.9131, con=6.6922, intent=2.5918, rec=0.0011, this epoch 0.9262, total 12.5475
(T) | Epoch=014, loss=6.9117, con=6.6856, intent=2.5790, rec=0.0009, this epoch 0.9280, total 13.4755
(T) | Epoch=015, loss=6.9030, con=6.6749, intent=2.5498, rec=0.0006, this epoch 0.9267, total 14.4021
(T) | Epoch=016, loss=6.8931, con=6.6622, intent=2.5400, rec=0.0005, this epoch 0.9270, total 15.3291
(T) | Epoch=017, loss=6.8874, con=6.6560, intent=2.5201, rec=0.0003, this epoch 0.9250, total 16.2541
(T) | Epoch=018, loss=6.8905, con=6.6579, intent=2.5138, rec=0.0002, this epoch 0.9270, total 17.1811
(T) | Epoch=019, loss=6.8906, con=6.6580, intent=2.5038, rec=0.0003, this epoch 0.9263, total 18.1074
(T) | Epoch=020, loss=6.8850, con=6.6523, intent=2.4976, rec=0.0002, this epoch 0.9279, total 19.0353  alpha=[apa:0.119, apcpa:0.462, aptpa:0.419]
(T) | Epoch=021, loss=6.8797, con=6.6470, intent=2.4940, rec=0.0003, this epoch 0.9905, total 20.0258
(T) | Epoch=022, loss=6.8788, con=6.6469, intent=2.4833, rec=0.0002, this epoch 0.9287, total 20.9545
(T) | Epoch=023, loss=6.8827, con=6.6513, intent=2.4768, rec=0.0002, this epoch 0.9253, total 21.8798
(T) | Epoch=024, loss=6.8831, con=6.6518, intent=2.4734, rec=0.0001, this epoch 0.9278, total 22.8076
(T) | Epoch=025, loss=6.8752, con=6.6444, intent=2.4667, rec=0.0002, this epoch 0.9260, total 23.7335
(T) | Epoch=026, loss=6.8653, con=6.6343, intent=2.4678, rec=0.0001, this epoch 0.9261, total 24.6597
(T) | Epoch=027, loss=6.8588, con=6.6282, intent=2.4603, rec=0.0002, this epoch 0.9267, total 25.5864
(T) | Epoch=028, loss=6.8599, con=6.6289, intent=2.4612, rec=0.0001, this epoch 0.9253, total 26.5116
(T) | Epoch=029, loss=6.8640, con=6.6330, intent=2.4595, rec=0.0001, this epoch 0.9221, total 27.4337
(T) | Epoch=030, loss=6.8663, con=6.6358, intent=2.4529, rec=0.0001, this epoch 0.9260, total 28.3597  alpha=[apa:0.062, apcpa:0.507, aptpa:0.431]
(T) | Epoch=031, loss=6.8660, con=6.6356, intent=2.4517, rec=0.0001, this epoch 0.9238, total 29.2836
(T) | Epoch=032, loss=6.8623, con=6.6321, intent=2.4496, rec=0.0001, this epoch 0.9236, total 30.2072
(T) | Epoch=033, loss=6.8552, con=6.6253, intent=2.4462, rec=0.0001, this epoch 0.9273, total 31.1345
(T) | Epoch=034, loss=6.8473, con=6.6169, intent=2.4531, rec=0.0001, this epoch 0.9255, total 32.0600
(T) | Epoch=035, loss=6.8393, con=6.6101, intent=2.4422, rec=0.0001, this epoch 0.9232, total 32.9832
(T) | Epoch=036, loss=6.8367, con=6.6076, intent=2.4421, rec=0.0001, this epoch 0.9261, total 33.9094
(T) | Epoch=037, loss=6.8368, con=6.6083, intent=2.4366, rec=0.0001, this epoch 0.9255, total 34.8349
