[command] python /root/code/lunwne/lunwen/train_ig.py --num_epochs 200 --intent_source dynamic --num_hidden 256 --num_proj_hidden 256 --num_edge_hidden 32 --adv_lambda 0 --lambda_intent 0.1 --encoder hii --num_layers 2 --hii_heads 1 --icra_heads 1 --icra_dim 64 --sparsify_topk 10 --disable_candidate_edges --lambda_cand_bce 0 --lambda_rel_entropy 0.02 --cs_full_graph --cs_num_queries 40 --cs_topk 5,10,20,50,oracle --cs_w_list 0.18,0.2,0.22,0.24,0.26 --greedy_patience 1 --greedy_min_gain_tol 1e-4 --frontier_batch_size 2 --greedy_connectivity_boost 0 --greedy_select_mode first_drop --intent_rerank_alpha 0 --lambda_ic_spnm 0 --compute_structure_metrics --ckpt_interval 0 --cs_relations mam,mdm --dataset IMDB_NEW --relation_fusion transformer
[log] 运行日志写入: log/run_IMDB_NEW_20260805_151218.log
[config] cand_sources=embed num_cand_per_node=0 cand_label_mode=soft lambda_cand_bce=0.0 lambda_ic_spnm=0.0 ic_spnm_pos=20 ic_spnm_neg=256 ic_spnm_hard_pool=2048 ic_spnm_pos_mode=neighbor ic_spnm_frontier_ratio=0.5 ic_spnm_frontier_hops=2 relation_fusion=transformer cs_topk=(5, 10, 20, 50, 'oracle') cs_w_list=(0.18, 0.2, 0.22, 0.24, 0.26) greedy_patience=1 greedy_min_gain_tol=0.0001 frontier_batch_size=2 greedy_connectivity_boost=0.0 greedy_select_mode=first_drop include_query_in_pred=False eval_perturb=none:0.0 seed=123
Using CPU
Using GPU: NVIDIA GeForce RTX 2080 Ti
/root/miniconda3/lib/python3.8/site-packages/scipy/sparse/_index.py:146: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
  [cs_full_graph] IMDB_NEW: merged ['mam.npz', 'mdm.npz'] -> 159228 directed edges (no sparsify)
  [sparsify] mam.npz: 143122 -> 63780 edges (avg_deg 32 -> 14, top-k=10)
[data] 多关系 R=2: mam(63780 edges), mdm(18710 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+TRANSFORMER  R=2 hii_heads=1 icra_heads=1 icra_dim=64
(T) | Epoch=001, loss=9.0199, con=8.6558, intent=4.9160, rec=0.0048, this epoch 1.2036, total 1.2036  alpha=[mam:0.012, mdm:0.988]
(T) | Epoch=002, loss=8.6413, con=8.4116, intent=3.7435, rec=0.0108, this epoch 0.5906, total 1.7942
(T) | Epoch=003, loss=8.0781, con=7.9115, intent=3.1160, rec=0.0179, this epoch 0.6304, total 2.4246
(T) | Epoch=004, loss=7.6796, con=7.5157, intent=2.9419, rec=0.0186, this epoch 0.6342, total 3.0587
(T) | Epoch=005, loss=7.5486, con=7.3772, intent=2.8751, rec=0.0197, this epoch 0.6343, total 3.6931
(T) | Epoch=006, loss=7.4733, con=7.2970, intent=2.8413, rec=0.0201, this epoch 0.6328, total 4.3259
(T) | Epoch=007, loss=7.4149, con=7.2346, intent=2.7933, rec=0.0178, this epoch 0.6272, total 4.9531
(T) | Epoch=008, loss=7.3764, con=7.1914, intent=2.7558, rec=0.0188, this epoch 0.6250, total 5.5781
(T) | Epoch=009, loss=7.4346, con=7.2463, intent=2.7595, rec=0.0179, this epoch 0.6372, total 6.2153
(T) | Epoch=010, loss=7.3537, con=7.1626, intent=2.6949, rec=0.0167, this epoch 0.6296, total 6.8449  alpha=[mam:0.000, mdm:1.000]
(T) | Epoch=011, loss=7.3303, con=7.1459, intent=2.6405, rec=0.0214, this epoch 0.6312, total 7.4761
(T) | Epoch=012, loss=7.3069, con=7.1240, intent=2.6329, rec=0.0186, this epoch 0.6371, total 8.1132
(T) | Epoch=013, loss=7.3344, con=7.1515, intent=2.6079, rec=0.0199, this epoch 0.6273, total 8.7405
(T) | Epoch=014, loss=7.2942, con=7.1114, intent=2.5947, rec=0.0211, this epoch 0.6337, total 9.3742
(T) | Epoch=015, loss=7.3001, con=7.1186, intent=2.5725, rec=0.0223, this epoch 0.6297, total 10.0039
(T) | Epoch=016, loss=7.3344, con=7.1537, intent=2.5540, rec=0.0263, this epoch 0.6316, total 10.6355
(T) | Epoch=017, loss=7.2873, con=7.1077, intent=2.5494, rec=0.0226, this epoch 0.6330, total 11.2685
(T) | Epoch=018, loss=7.2849, con=7.1079, intent=2.5330, rec=0.0226, this epoch 0.6334, total 11.9018
(T) | Epoch=019, loss=7.3437, con=7.1695, intent=2.5206, rec=0.0213, this epoch 0.6345, total 12.5363
(T) | Epoch=020, loss=7.3409, con=7.1664, intent=2.5088, rec=0.0207, this epoch 0.6312, total 13.1675  alpha=[mam:0.000, mdm:1.000]
(T) | Epoch=021, loss=7.2946, con=7.1194, intent=2.5049, rec=0.0232, this epoch 0.6737, total 13.8412
(T) | Epoch=022, loss=7.2741, con=7.1005, intent=2.4993, rec=0.0216, this epoch 0.6384, total 14.4796
(T) | Epoch=023, loss=7.2733, con=7.1013, intent=2.4903, rec=0.0232, this epoch 0.6298, total 15.1094
(T) | Epoch=024, loss=7.2431, con=7.0699, intent=2.4859, rec=0.0222, this epoch 0.6321, total 15.7415
(T) | Epoch=025, loss=7.2167, con=7.0443, intent=2.4839, rec=0.0210, this epoch 0.6309, total 16.3723
(T) | Epoch=026, loss=7.2574, con=7.0826, intent=2.4811, rec=0.0172, this epoch 0.6322, total 17.0045
(T) | Epoch=027, loss=7.3015, con=7.1279, intent=2.4795, rec=0.0193, this epoch 0.6303, total 17.6348
(T) | Epoch=028, loss=7.2835, con=7.1063, intent=2.4734, rec=0.0166, this epoch 0.6318, total 18.2666
(T) | Epoch=029, loss=7.2329, con=7.0503, intent=2.4735, rec=0.0164, this epoch 0.6333, total 18.8999
(T) | Epoch=030, loss=7.2222, con=7.0323, intent=2.4757, rec=0.0195, this epoch 0.6300, total 19.5300  alpha=[mam:0.000, mdm:1.000]
(T) | Epoch=031, loss=7.2596, con=7.0594, intent=2.4668, rec=0.0181, this epoch 0.6310, total 20.1609
(T) | Epoch=032, loss=7.2761, con=7.0647, intent=2.4618, rec=0.0166, this epoch 0.6393, total 20.8003
(T) | Epoch=033, loss=7.2575, con=7.0340, intent=2.4603, rec=0.0167, this epoch 0.6305, total 21.4307
(T) | Epoch=034, loss=7.2810, con=7.0470, intent=2.4577, rec=0.0129, this epoch 0.6316, total 22.0623
(T) | Epoch=035, loss=7.3341, con=7.0938, intent=2.4591, rec=0.0142, this epoch 0.6312, total 22.6936
(T) | Epoch=036, loss=7.3485, con=7.1041, intent=2.4528, rec=0.0161, this epoch 0.6372, total 23.3308
(T) | Epoch=037, loss=7.3311, con=7.0840, intent=2.4548, rec=0.0135, this epoch 0.6306, total 23.9614
(T) | Epoch=038, loss=7.3207, con=7.0717, intent=2.4537, rec=0.0165, this epoch 0.6311, total 24.5925
(T) | Epoch=039, loss=7.3015, con=7.0522, intent=2.4480, rec=0.0168, this epoch 0.6356, total 25.2280
(T) | Epoch=040, loss=7.2867, con=7.0370, intent=2.4491, rec=0.0152, this epoch 0.6309, total 25.8589  alpha=[mam:0.000, mdm:1.000]
