[command] python /root/code/lunwne/lunwen/train_ig.py --num_epochs 200 --intent_source dynamic --num_hidden 256 --num_proj_hidden 256 --num_edge_hidden 32 --adv_lambda 0 --lambda_intent 0.1 --encoder hii --num_layers 2 --hii_heads 1 --icra_heads 1 --icra_dim 64 --sparsify_topk 10 --disable_candidate_edges --lambda_cand_bce 0 --lambda_rel_entropy 0.02 --cs_full_graph --cs_num_queries 40 --cs_topk 5,10,20,50,oracle --cs_w_list 0.0 --greedy_patience 1 --greedy_min_gain_tol 1e-4 --frontier_batch_size 2 --greedy_connectivity_boost 0 --greedy_select_mode first_drop --intent_rerank_alpha 0 --lambda_ic_spnm 0 --compute_structure_metrics --ckpt_interval 0 --cs_relations mam,mdm --lambda_ilssc 0.1 --ilssc_seed_size 8 --ilssc_hard_pool 2048 --ilssc_neg_mode conservative --ilssc_gate_mode prior --greedy_init_seed_size 1 --ilssc_high_order_beta 0.2 --greedy_high_order_beta 0.2 --greedy_comm_direct_beta 0.1 --greedy_comm_cohesion_beta 0.05 --greedy_boundary_gamma 0.03 --greedy_hse_pool_size 512 --ilssc_warmup_epochs 0 --ilssc_ramp_epochs 0 --dataset IMDB_NEW --greedy_hse_pool_size 64
[log] 运行日志写入: log/run_IMDB_NEW_20260811_100416.log
[config] cand_sources=embed num_cand_per_node=0 cand_label_mode=soft cand_dist_k=16 cand_dist_tau=0.2 lambda_cand_bce=0.0 lambda_ic_spnm=0.0 ic_spnm_pos=20 ic_spnm_neg=256 ic_spnm_hard_pool=2048 ic_spnm_pos_mode=neighbor ic_spnm_frontier_ratio=0.5 ic_spnm_frontier_hops=2 lambda_ilssc=0.1 ilssc_seed_size=8 ilssc_neg=256 ilssc_hard_pool=2048 ilssc_hops=2 ilssc_neg_mode=conservative ilssc_gate_mode=prior ilssc_high_order_beta=0.2 ilssc_warmup=0 ilssc_ramp=0 ilssc_use_intent_dist=False intent_dist_k=16 intent_dist_tau=0.2 intent_dist_beta=0.5 intent_dist_proto_mode=random intent_dist_stable=False intent_dist_update_interval=10 intent_dist_ema=0.7 intent_dist_anchor_pool=0 intent_dist_conf_tau=0.05 intent_dist_min_conf=0.0 relation_fusion=icra cs_topk=(5, 10, 20, 50, 'oracle') cs_w_list=(0.0,) greedy_patience=1 greedy_min_gain_tol=0.0001 frontier_batch_size=2 greedy_connectivity_boost=0.0 greedy_select_mode=first_drop greedy_init_seed_size=1 greedy_init_seed_hops=1 greedy_init_seed_conn_beta=0.3 greedy_high_order_beta=0.2 greedy_comm_cohesion_beta=0.05 greedy_comm_direct_beta=0.1 greedy_boundary_gamma=0.03 greedy_hse_pool_size=64 include_query_in_pred=False eval_perturb=none:0.0 seed=123
Using CPU
Using GPU: NVIDIA GeForce RTX 2080 Ti
/root/miniconda3/lib/python3.8/site-packages/scipy/sparse/_index.py:146: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
  [cs_full_graph] IMDB_NEW: merged ['mam.npz', 'mdm.npz'] -> 159228 directed edges (no sparsify)
  [sparsify] mam.npz: 143122 -> 63780 edges (avg_deg 32 -> 14, top-k=10)
[data] 多关系 R=2: mam(63780 edges), mdm(18710 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+ICRA  R=2 hii_heads=1 icra_heads=1 icra_dim=64
[ILSSC] 全量图邻接表就绪, lambda=0.1, seed=8 neg=256 B=8 pool=2048 hops=2 frontier_pool=128 conn_beta=0.3 sim_beta=0.5 high_order_beta=0.2 proto_alpha=0.5 use_intent_dist=False dist_k=16 dist_tau=0.2 dist_beta=0.5 dist_proto_mode=random dist_stable=False dist_update_interval=10 dist_ema=0.7 dist_conf_tau=0.05 dist_min_conf=0.0
(T) | Epoch=001, loss=9.5389, con=8.6472, intent=4.8580, rec=0.0006, ilssc=5.5054, il_lam=0.1000, il_q=8, il_seed=0.004, il_sim=0.725, il_conn=0.080, il_dist=0.000, il_high=0.386, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.767, il_neg_dist=0.000, il_neg_high=0.004, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 1.1507, total 1.2361  alpha=[mam:0.506, mdm:0.494]
(T) | Epoch=002, loss=8.9308, con=8.1750, intent=3.6766, rec=0.0025, ilssc=5.4615, il_lam=0.1000, il_q=8, il_seed=0.502, il_sim=0.666, il_conn=0.039, il_dist=0.000, il_high=0.448, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.696, il_neg_dist=0.000, il_neg_high=0.005, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 0.6012, total 1.8373
(T) | Epoch=003, loss=8.6531, con=7.9135, intent=3.0988, rec=0.0015, ilssc=5.4230, il_lam=0.1000, il_q=8, il_seed=0.736, il_sim=0.623, il_conn=0.032, il_dist=0.000, il_high=0.445, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.641, il_neg_dist=0.000, il_neg_high=0.005, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 0.6309, total 2.4682
(T) | Epoch=004, loss=8.1795, con=7.4466, intent=2.8967, rec=0.0019, ilssc=5.3598, il_lam=0.1000, il_q=7, il_seed=0.830, il_sim=0.614, il_conn=0.028, il_dist=0.000, il_high=0.598, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.615, il_neg_dist=0.000, il_neg_high=0.007, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 0.6271, total 3.0953
(T) | Epoch=005, loss=8.1007, con=7.3664, intent=2.8072, rec=0.0021, ilssc=5.4035, il_lam=0.1000, il_q=8, il_seed=0.853, il_sim=0.558, il_conn=0.033, il_dist=0.000, il_high=0.525, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.584, il_neg_dist=0.000, il_neg_high=0.008, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 0.6328, total 3.7280
(T) | Epoch=006, loss=7.9779, con=7.2791, intent=2.7476, rec=0.0018, ilssc=5.1172, il_lam=0.1000, il_q=8, il_seed=0.868, il_sim=0.571, il_conn=0.057, il_dist=0.000, il_high=0.419, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=7.4, il_neg=0.521, il_neg_dist=0.000, il_neg_high=0.005, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 0.6313, total 4.3594
(T) | Epoch=007, loss=7.9101, con=7.1791, intent=2.7192, rec=0.0016, ilssc=5.4200, il_lam=0.1000, il_q=8, il_seed=0.888, il_sim=0.477, il_conn=0.036, il_dist=0.000, il_high=0.553, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.523, il_neg_dist=0.000, il_neg_high=0.007, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 0.6274, total 4.9868
(T) | Epoch=008, loss=7.7855, con=7.0557, intent=2.6949, rec=0.0017, ilssc=5.3576, il_lam=0.1000, il_q=8, il_seed=0.888, il_sim=0.413, il_conn=0.050, il_dist=0.000, il_high=0.444, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.436, il_neg_dist=0.000, il_neg_high=0.005, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 0.6248, total 5.6116
(T) | Epoch=009, loss=7.7408, con=7.0366, intent=2.6803, rec=0.0018, ilssc=5.0376, il_lam=0.1000, il_q=8, il_seed=0.897, il_sim=0.480, il_conn=0.032, il_dist=0.000, il_high=0.395, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.434, il_neg_dist=0.000, il_neg_high=0.007, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 0.6513, total 6.2629
(T) | Epoch=010, loss=7.7793, con=7.0335, intent=2.6614, rec=0.0013, ilssc=5.4002, il_lam=0.1000, il_q=7, il_seed=0.903, il_sim=0.397, il_conn=0.041, il_dist=0.000, il_high=0.433, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.446, il_neg_dist=0.000, il_neg_high=0.006, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 0.6154, total 6.8783  alpha=[mam:0.550, mdm:0.450]
(T) | Epoch=011, loss=7.7456, con=7.0011, intent=2.6540, rec=0.0015, ilssc=5.3036, il_lam=0.1000, il_q=8, il_seed=0.905, il_sim=0.375, il_conn=0.067, il_dist=0.000, il_high=0.396, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.416, il_neg_dist=0.000, il_neg_high=0.006, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 0.6297, total 7.5080
