[command] python /root/code/lunwne/lunwen/train_ig.py --num_epochs 200 --intent_source dynamic --num_hidden 256 --num_proj_hidden 256 --num_edge_hidden 32 --adv_lambda 0 --lambda_intent 0.1 --encoder hii --num_layers 2 --hii_heads 1 --icra_heads 1 --icra_dim 64 --sparsify_topk 10 --disable_candidate_edges --lambda_cand_bce 0 --lambda_rel_entropy 0.02 --cs_full_graph --cs_num_queries 40 --cs_topk 5,10,20,50,oracle --cs_w_list 0.14 --greedy_patience 1 --greedy_min_gain_tol 1e-4 --frontier_batch_size 2 --greedy_connectivity_boost 0 --greedy_select_mode first_drop --intent_rerank_alpha 0 --lambda_ic_spnm 0 --compute_structure_metrics --ckpt_interval 0 --cs_relations apa,apcpa,aptpa --lambda_ilssc 0.1 --ilssc_seed_size 8 --ilssc_hard_pool 2048 --ilssc_neg_mode conservative --ilssc_gate_mode prior --greedy_init_seed_size 1 --ilssc_high_order_beta 0.2 --greedy_high_order_beta 0.2 --greedy_comm_direct_beta 0.1 --greedy_comm_cohesion_beta 0.05 --greedy_boundary_gamma 0.03 --greedy_hse_pool_size 512 --ilssc_warmup_epochs 10 --ilssc_ramp_epochs 30 --dataset DBLP --model_name idbr_bridge02_fast --idbr_bridge_beta 0.2 --idbr_bridge_steps 2,4 --idbr_bridge_decay 0.7 --idbr_bridge_max_states 100 --greedy_hse_pool_size 64
[log] 运行日志写入: log/run_DBLP_20260812_110650.log
[config] cand_sources=embed num_cand_per_node=0 cand_label_mode=soft cand_dist_k=16 cand_dist_tau=0.2 lambda_cand_bce=0.0 lambda_ic_spnm=0.0 ic_spnm_pos=20 ic_spnm_neg=256 ic_spnm_hard_pool=2048 ic_spnm_pos_mode=neighbor ic_spnm_frontier_ratio=0.5 ic_spnm_frontier_hops=2 lambda_ilssc=0.1 ilssc_seed_size=8 ilssc_neg=256 ilssc_hard_pool=2048 ilssc_hops=2 ilssc_neg_mode=conservative ilssc_gate_mode=prior ilssc_high_order_beta=0.2 ilssc_warmup=10 ilssc_ramp=30 ilssc_use_intent_dist=False intent_dist_k=16 intent_dist_tau=0.2 intent_dist_beta=0.5 intent_dist_proto_mode=random intent_dist_stable=False intent_dist_update_interval=10 intent_dist_ema=0.7 intent_dist_anchor_pool=0 intent_dist_conf_tau=0.05 intent_dist_min_conf=0.0 relation_fusion=icra cs_topk=(5, 10, 20, 50, 'oracle') cs_w_list=(0.14,) greedy_patience=1 greedy_min_gain_tol=0.0001 frontier_batch_size=2 greedy_connectivity_boost=0.0 greedy_select_mode=first_drop greedy_init_seed_size=1 greedy_init_seed_hops=1 greedy_init_seed_conn_beta=0.3 greedy_high_order_beta=0.2 greedy_comm_cohesion_beta=0.05 greedy_comm_direct_beta=0.1 greedy_boundary_gamma=0.03 greedy_hse_pool_size=64 greedy_hse_normalize=False greedy_hse_density=False greedy_hse_density_alpha=1.0 idbr_bridge_beta=0.2 idbr_bridge_steps=(2, 4) idbr_bridge_decay=0.7 idbr_bridge_max_states=100 greedy_recall_expand_size=0 greedy_recall_min_sim_delta=0.0 include_query_in_pred=False eval_perturb=none:0.0 model_name=idbr_bridge02_fast seed=123
Using CPU
Using GPU: NVIDIA GeForce RTX 2080 Ti
  [cs_full_graph] DBLP: merged ['apa.npz', 'apcpa.npz', 'aptpa.npz'] -> 8947540 directed edges (no sparsify)
/root/miniconda3/lib/python3.8/site-packages/scipy/sparse/_index.py:146: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
  [sparsify] apcpa.npz: 5000495 -> 80544 edges (avg_deg 1233 -> 20, top-k=10)
  [sparsify] aptpa.npz: 7043571 -> 77930 edges (avg_deg 1736 -> 19, top-k=10)
[data] 多关系 R=3: apa(7056 edges), apcpa(80544 edges), aptpa(77930 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+ICRA  R=3 hii_heads=1 icra_heads=1 icra_dim=64
[ILSSC] 全量图邻接表就绪, lambda=0.1, seed=8 neg=256 B=8 pool=2048 hops=2 frontier_pool=128 conn_beta=0.3 sim_beta=0.5 high_order_beta=0.2 proto_alpha=0.5 use_intent_dist=False dist_k=16 dist_tau=0.2 dist_beta=0.5 dist_proto_mode=random dist_stable=False dist_update_interval=10 dist_ema=0.7 dist_conf_tau=0.05 dist_min_conf=0.0
(T) | Epoch=001, loss=7.7095, con=7.3516, intent=5.0260, rec=0.0010, ilssc=0.0000, il_lam=0.0000, this epoch 1.5161, total 6.4458  alpha=[apa:0.340, apcpa:0.338, aptpa:0.322]
(T) | Epoch=002, loss=7.4748, con=7.1937, intent=4.1363, rec=0.0052, ilssc=0.0000, il_lam=0.0000, this epoch 0.9035, total 7.3493
(T) | Epoch=003, loss=7.2305, con=6.9819, intent=3.6067, rec=0.0104, ilssc=0.0000, il_lam=0.0000, this epoch 0.9177, total 8.2671
(T) | Epoch=004, loss=7.0910, con=6.8726, intent=3.1912, rec=0.0058, ilssc=0.0000, il_lam=0.0000, this epoch 0.9119, total 9.1790
(T) | Epoch=005, loss=7.0557, con=6.8456, intent=2.9829, rec=0.0036, ilssc=0.0000, il_lam=0.0000, this epoch 0.9229, total 10.1019
(T) | Epoch=006, loss=6.9992, con=6.7887, intent=2.8623, rec=0.0045, ilssc=0.0000, il_lam=0.0000, this epoch 0.9170, total 11.0189
(T) | Epoch=007, loss=6.9574, con=6.7434, intent=2.7936, rec=0.0031, ilssc=0.0000, il_lam=0.0000, this epoch 0.9205, total 11.9394
(T) | Epoch=008, loss=6.9475, con=6.7303, intent=2.7367, rec=0.0026, ilssc=0.0000, il_lam=0.0000, this epoch 0.9152, total 12.8546
(T) | Epoch=009, loss=6.9474, con=6.7206, intent=2.7696, rec=0.0025, ilssc=0.0000, il_lam=0.0000, this epoch 0.9136, total 13.7682
(T) | Epoch=010, loss=6.9276, con=6.7052, intent=2.6568, rec=0.0020, ilssc=0.0000, il_lam=0.0000, this epoch 0.9144, total 14.6827  alpha=[apa:0.311, apcpa:0.353, aptpa:0.336]
(T) | Epoch=011, loss=6.9296, con=6.6880, intent=2.6312, rec=0.0018, ilssc=4.7303, il_lam=0.0033, il_q=8, il_seed=0.910, il_sim=0.327, il_conn=0.000, il_dist=0.000, il_high=0.743, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.144, il_neg_dist=0.000, il_neg_high=0.419, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 3.1604, total 17.8431
(T) | Epoch=012, loss=6.9386, con=6.6794, intent=2.5946, rec=0.0013, ilssc=4.7293, il_lam=0.0067, il_q=8, il_seed=0.924, il_sim=0.335, il_conn=0.000, il_dist=0.000, il_high=0.761, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.138, il_neg_dist=0.000, il_neg_high=0.413, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 3.1314, total 20.9745
(T) | Epoch=013, loss=6.9560, con=6.6795, intent=2.5718, rec=0.0010, ilssc=4.6651, il_lam=0.0100, il_q=8, il_seed=0.930, il_sim=0.358, il_conn=0.000, il_dist=0.000, il_high=0.780, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.147, il_neg_dist=0.000, il_neg_high=0.403, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.9123, total 23.8868
(T) | Epoch=014, loss=6.9708, con=6.6759, intent=2.5555, rec=0.0010, ilssc=4.7368, il_lam=0.0133, il_q=8, il_seed=0.936, il_sim=0.343, il_conn=0.001, il_dist=0.000, il_high=0.711, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.140, il_neg_dist=0.000, il_neg_high=0.365, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.9875, total 26.8743
(T) | Epoch=015, loss=6.9781, con=6.6658, intent=2.5422, rec=0.0008, ilssc=4.7971, il_lam=0.0167, il_q=8, il_seed=0.946, il_sim=0.307, il_conn=0.000, il_dist=0.000, il_high=0.740, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.139, il_neg_dist=0.000, il_neg_high=0.417, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.9834, total 29.8577
(T) | Epoch=016, loss=6.9829, con=6.6561, intent=2.5227, rec=0.0007, ilssc=4.7574, il_lam=0.0200, il_q=8, il_seed=0.954, il_sim=0.284, il_conn=0.000, il_dist=0.000, il_high=0.765, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.109, il_neg_dist=0.000, il_neg_high=0.406, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 3.0309, total 32.8886
(T) | Epoch=017, loss=6.9963, con=6.6522, intent=2.5150, rec=0.0005, ilssc=4.8176, il_lam=0.0233, il_q=8, il_seed=0.957, il_sim=0.275, il_conn=0.000, il_dist=0.000, il_high=0.756, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.119, il_neg_dist=0.000, il_neg_high=0.422, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.9412, total 35.8298
(T) | Epoch=018, loss=7.0100, con=6.6493, intent=2.4997, rec=0.0005, ilssc=4.8821, il_lam=0.0267, il_q=8, il_seed=0.959, il_sim=0.264, il_conn=0.000, il_dist=0.000, il_high=0.723, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.125, il_neg_dist=0.000, il_neg_high=0.392, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.8486, total 38.6784
(T) | Epoch=019, loss=7.0194, con=6.6448, intent=2.4984, rec=0.0005, ilssc=4.7988, il_lam=0.0300, il_q=8, il_seed=0.965, il_sim=0.270, il_conn=0.000, il_dist=0.000, il_high=0.743, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.099, il_neg_dist=0.000, il_neg_high=0.435, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.7149, total 41.3933
(T) | Epoch=020, loss=7.0285, con=6.6458, intent=2.4874, rec=0.0004, ilssc=4.5930, il_lam=0.0333, il_q=8, il_seed=0.967, il_sim=0.334, il_conn=0.000, il_dist=0.000, il_high=0.740, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.088, il_neg_dist=0.000, il_neg_high=0.417, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.7147, total 44.1080  alpha=[apa:0.229, apcpa:0.407, aptpa:0.364]
(T) | Epoch=021, loss=7.0570, con=6.6523, intent=2.4799, rec=0.0003, ilssc=4.7906, il_lam=0.0367, il_q=8, il_seed=0.972, il_sim=0.270, il_conn=0.000, il_dist=0.000, il_high=0.783, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.088, il_neg_dist=0.000, il_neg_high=0.453, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 3.1004, total 47.2084
(T) | Epoch=022, loss=7.0702, con=6.6544, intent=2.4750, rec=0.0003, ilssc=4.6775, il_lam=0.0400, il_q=8, il_seed=0.971, il_sim=0.296, il_conn=0.000, il_dist=0.000, il_high=0.776, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.089, il_neg_dist=0.000, il_neg_high=0.423, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 3.1364, total 50.3448
(T) | Epoch=023, loss=7.0772, con=6.6468, intent=2.4708, rec=0.0002, ilssc=4.6620, il_lam=0.0433, il_q=8, il_seed=0.974, il_sim=0.303, il_conn=0.000, il_dist=0.000, il_high=0.810, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.080, il_neg_dist=0.000, il_neg_high=0.458, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 3.0694, total 53.4142
(T) | Epoch=024, loss=7.0841, con=6.6349, intent=2.4664, rec=0.0002, ilssc=4.7388, il_lam=0.0467, il_q=8, il_seed=0.976, il_sim=0.277, il_conn=0.000, il_dist=0.000, il_high=0.796, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.075, il_neg_dist=0.000, il_neg_high=0.477, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.7235, total 56.1376
(T) | Epoch=025, loss=7.0902, con=6.6273, intent=2.4647, rec=0.0001, ilssc=4.6993, il_lam=0.0500, il_q=8, il_seed=0.974, il_sim=0.276, il_conn=0.000, il_dist=0.000, il_high=0.750, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.120, il_neg_dist=0.000, il_neg_high=0.403, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.9846, total 59.1223
(T) | Epoch=026, loss=7.1058, con=6.6280, intent=2.4632, rec=0.0001, ilssc=4.6852, il_lam=0.0533, il_q=8, il_seed=0.975, il_sim=0.276, il_conn=0.000, il_dist=0.000, il_high=0.788, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.057, il_neg_dist=0.000, il_neg_high=0.457, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.6795, total 61.8017
