[command] python /root/code/lunwne/lunwen/train_ig.py --num_epochs 200 --intent_source dynamic --num_hidden 256 --num_proj_hidden 256 --num_edge_hidden 32 --adv_lambda 0 --lambda_intent 0.1 --encoder hii --num_layers 2 --hii_heads 1 --icra_heads 1 --icra_dim 64 --sparsify_topk 10 --lambda_cand_bce 0.02 --lambda_rel_entropy 0.02 --cs_full_graph --cs_num_queries 40 --cs_topk 5,10,20,50,oracle --cs_w_list 0.13 --greedy_patience 1 --greedy_min_gain_tol 1e-4 --frontier_batch_size 2 --greedy_connectivity_boost 0 --greedy_select_mode first_drop --intent_rerank_alpha 0 --lambda_ic_spnm 0 --compute_structure_metrics --ckpt_interval 0 --cs_relations pap,psp --query_file log/queries_ACM_40_seed0_new.txt --lambda_ilssc 0.1 --ilssc_seed_size 8 --ilssc_hard_pool 2048 --ilssc_neg_mode conservative --ilssc_gate_mode prior --num_cand_per_node 4 --cand_sources embed,twohop,common,dist,intent --cand_intent_dist_k 16 --cand_intent_dist_tau 0.2 --cand_label_mode soft --greedy_init_seed_size 1 --ilssc_warmup_epochs 30 --ilssc_ramp_epochs 50 --dataset ACM --ilssc_use_intent_dist --intent_dist_k 16 --intent_dist_beta 0.5 --intent_dist_tau 0.2 --intent_dist_proto_mode random
[log] 运行日志写入: log/run_ACM_20260810_100200.log
[config] cand_sources=embed,twohop,common,dist,intent num_cand_per_node=4 cand_label_mode=soft cand_dist_k=16 cand_dist_tau=0.2 lambda_cand_bce=0.02 lambda_ic_spnm=0.0 ic_spnm_pos=20 ic_spnm_neg=256 ic_spnm_hard_pool=2048 ic_spnm_pos_mode=neighbor ic_spnm_frontier_ratio=0.5 ic_spnm_frontier_hops=2 lambda_ilssc=0.1 ilssc_seed_size=8 ilssc_neg=256 ilssc_hard_pool=2048 ilssc_hops=2 ilssc_neg_mode=conservative ilssc_gate_mode=prior ilssc_warmup=30 ilssc_ramp=50 ilssc_use_intent_dist=True intent_dist_k=16 intent_dist_tau=0.2 intent_dist_beta=0.5 intent_dist_proto_mode=random relation_fusion=icra cs_topk=(5, 10, 20, 50, 'oracle') cs_w_list=(0.13,) greedy_patience=1 greedy_min_gain_tol=0.0001 frontier_batch_size=2 greedy_connectivity_boost=0.0 greedy_select_mode=first_drop greedy_init_seed_size=1 greedy_init_seed_hops=1 greedy_init_seed_conn_beta=0.3 include_query_in_pred=False eval_perturb=none:0.0 seed=123
Using CPU
Using GPU: NVIDIA GeForce RTX 2080 Ti
  [cs_full_graph] ACM: merged ['pap.npz', 'psp.npz'] -> 4359766 directed edges (no sparsify)
/root/miniconda3/lib/python3.8/site-packages/scipy/sparse/_index.py:146: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
  [sparsify] pap.npz: 57853 -> 30852 edges (avg_deg 14 -> 8, top-k=10)
  [sparsify] psp.npz: 4338213 -> 75790 edges (avg_deg 1079 -> 19, top-k=10)
[data] 多关系 R=2: pap(30852 edges), psp(75790 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+ICRA  R=2 hii_heads=1 icra_heads=1 icra_dim=64
[ILSSC] 全量图邻接表就绪, lambda=0.1, seed=8 neg=256 B=8 pool=2048 hops=2 frontier_pool=128 conn_beta=0.3 sim_beta=0.5 proto_alpha=0.5 use_intent_dist=True dist_k=16 dist_tau=0.2 dist_beta=0.5 dist_proto_mode=random
(T) | Epoch=001, loss=8.7298, con=8.3813, intent=4.9220, rec=0.0008, cand_bce=1.3446, n_cand=15375, ilssc=0.0000, il_lam=0.0000, this epoch 26.2387, total 28.5454  alpha=[pap:0.511, psp:0.489]
(T) | Epoch=002, loss=8.4750, con=8.2081, intent=4.0405, rec=0.0013, cand_bce=1.5080, n_cand=15375, ilssc=0.0000, il_lam=0.0000, this epoch 0.6500, total 29.1954
(T) | Epoch=003, loss=8.0783, con=7.8538, intent=3.5339, rec=0.0019, cand_bce=1.5305, n_cand=15375, ilssc=0.0000, il_lam=0.0000, this epoch 0.6639, total 29.8593
(T) | Epoch=004, loss=7.8595, con=7.6565, intent=3.2012, rec=0.0023, cand_bce=1.6815, n_cand=15375, ilssc=0.0000, il_lam=0.0000, this epoch 0.6723, total 30.5316
(T) | Epoch=005, loss=7.6722, con=7.4731, intent=2.9841, rec=0.0021, cand_bce=1.8407, n_cand=15375, ilssc=0.0000, il_lam=0.0000, this epoch 0.6676, total 31.1992
(T) | Epoch=006, loss=7.5884, con=7.3827, intent=2.9141, rec=0.0024, cand_bce=1.9279, n_cand=15375, ilssc=0.0000, il_lam=0.0000, this epoch 0.6670, total 31.8662
(T) | Epoch=007, loss=7.5763, con=7.3630, intent=2.8847, rec=0.0028, cand_bce=2.0383, n_cand=15375, ilssc=0.0000, il_lam=0.0000, this epoch 0.6665, total 32.5327
(T) | Epoch=008, loss=7.5478, con=7.3274, intent=2.8554, rec=0.0022, cand_bce=2.1416, n_cand=15375, ilssc=0.0000, il_lam=0.0000, this epoch 0.6691, total 33.2018
(T) | Epoch=009, loss=7.4125, con=7.1801, intent=2.8413, rec=0.0035, cand_bce=2.3257, n_cand=15375, ilssc=0.0000, il_lam=0.0000, this epoch 0.6689, total 33.8707
(T) | Epoch=010, loss=7.4797, con=7.2364, intent=2.8071, rec=0.0031, cand_bce=2.5783, n_cand=15375, ilssc=0.0000, il_lam=0.0000, this epoch 0.6661, total 34.5368  alpha=[pap:0.657, psp:0.343]
(T) | Epoch=011, loss=7.4257, con=7.1736, intent=2.7716, rec=0.0047, cand_bce=2.8465, n_cand=15375, ilssc=0.0000, il_lam=0.0000, this epoch 0.6671, total 35.2039
(T) | Epoch=012, loss=7.4697, con=7.2078, intent=2.7338, rec=0.0051, cand_bce=3.1578, n_cand=15375, ilssc=0.0000, il_lam=0.0000, this epoch 0.6703, total 35.8742
(T) | Epoch=013, loss=7.4813, con=7.2058, intent=2.7075, rec=0.0036, cand_bce=3.4907, n_cand=15375, ilssc=0.0000, il_lam=0.0000, this epoch 0.6676, total 36.5418
(T) | Epoch=014, loss=7.6187, con=7.3290, intent=2.6799, rec=0.0034, cand_bce=3.8399, n_cand=15375, ilssc=0.0000, il_lam=0.0000, this epoch 0.6682, total 37.2100
(T) | Epoch=015, loss=7.6254, con=7.3225, intent=2.6547, rec=0.0043, cand_bce=4.1600, n_cand=15375, ilssc=0.0000, il_lam=0.0000, this epoch 0.6678, total 37.8779
(T) | Epoch=016, loss=7.6035, con=7.2922, intent=2.6302, rec=0.0039, cand_bce=4.3471, n_cand=15375, ilssc=0.0000, il_lam=0.0000, this epoch 0.6687, total 38.5466
(T) | Epoch=017, loss=7.6896, con=7.3652, intent=2.6124, rec=0.0068, cand_bce=4.6205, n_cand=15375, ilssc=0.0000, il_lam=0.0000, this epoch 0.6678, total 39.2144
(T) | Epoch=018, loss=7.6900, con=7.3496, intent=2.6020, rec=0.0042, cand_bce=5.0417, n_cand=15375, ilssc=0.0000, il_lam=0.0000, this epoch 0.6695, total 39.8839
(T) | Epoch=019, loss=7.6813, con=7.3291, intent=2.5863, rec=0.0050, cand_bce=5.4273, n_cand=15375, ilssc=0.0000, il_lam=0.0000, this epoch 0.6692, total 40.5531
