[command] python /root/code/lunwne/lunwen/train_ig.py --num_epochs 200 --intent_source dynamic --num_hidden 256 --num_proj_hidden 256 --num_edge_hidden 32 --adv_lambda 0 --lambda_intent 0.1 --encoder hii --num_layers 2 --hii_heads 1 --icra_heads 1 --icra_dim 64 --sparsify_topk 10 --disable_candidate_edges --lambda_cand_bce 0 --lambda_rel_entropy 0.02 --cs_full_graph --cs_num_queries 40 --cs_topk 5,10,20,50,oracle --cs_w_list 0.18,0.2,0.22,0.24,0.26 --greedy_patience 1 --greedy_min_gain_tol 1e-4 --frontier_batch_size 2 --greedy_connectivity_boost 0 --greedy_select_mode first_drop --intent_rerank_alpha 0 --lambda_ic_spnm 0 --compute_structure_metrics --ckpt_interval 0 --cs_relations pap,psp --query_file log/queries_ACM_40_seed0_new.txt --dataset ACM --lambda_ilssc 0.1 --ilssc_seed_size 8 --greedy_init_seed_size 1
[log] 运行日志写入: log/run_ACM_20260806_143840.log
[config] cand_sources=embed num_cand_per_node=0 cand_label_mode=soft lambda_cand_bce=0.0 lambda_ic_spnm=0.0 ic_spnm_pos=20 ic_spnm_neg=256 ic_spnm_hard_pool=2048 ic_spnm_pos_mode=neighbor ic_spnm_frontier_ratio=0.5 ic_spnm_frontier_hops=2 lambda_ilssc=0.1 ilssc_seed_size=8 ilssc_neg=256 ilssc_hops=2 relation_fusion=icra cs_topk=(5, 10, 20, 50, 'oracle') cs_w_list=(0.18, 0.2, 0.22, 0.24, 0.26) greedy_patience=1 greedy_min_gain_tol=0.0001 frontier_batch_size=2 greedy_connectivity_boost=0.0 greedy_select_mode=first_drop greedy_init_seed_size=1 greedy_init_seed_hops=1 greedy_init_seed_conn_beta=0.3 include_query_in_pred=False eval_perturb=none:0.0 seed=123
Using CPU
Using GPU: NVIDIA GeForce RTX 2080 Ti
  [cs_full_graph] ACM: merged ['pap.npz', 'psp.npz'] -> 4359766 directed edges (no sparsify)
/root/miniconda3/lib/python3.8/site-packages/scipy/sparse/_index.py:146: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
  [sparsify] pap.npz: 57853 -> 30852 edges (avg_deg 14 -> 8, top-k=10)
  [sparsify] psp.npz: 4338213 -> 75790 edges (avg_deg 1079 -> 19, top-k=10)
[data] 多关系 R=2: pap(30852 edges), psp(75790 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+ICRA  R=2 hii_heads=1 icra_heads=1 icra_dim=64
[ILSSC] 全量图邻接表就绪, lambda=0.1, seed=8 neg=256 B=8 hops=2 frontier_pool=128 conn_beta=0.3 sim_beta=0.5 proto_alpha=0.5
(T) | Epoch=001, loss=9.3660, con=8.4559, intent=4.9538, rec=0.0024, ilssc=5.4143, il_q=8, il_seed=0.016, il_sim=0.583, il_conn=0.009, il_uniq=8.0, il_neg=0.599, this epoch 1.2275, total 3.5069  alpha=[pap:0.507, psp:0.493]
(T) | Epoch=002, loss=9.1765, con=8.3638, intent=4.0417, rec=0.0055, ilssc=5.3741, il_q=8, il_seed=0.390, il_sim=0.541, il_conn=0.005, il_uniq=8.0, il_neg=0.549, this epoch 0.6575, total 4.1645
(T) | Epoch=003, loss=8.8659, con=8.1082, intent=3.4520, rec=0.0059, ilssc=5.3442, il_q=8, il_seed=0.621, il_sim=0.535, il_conn=0.002, il_uniq=8.0, il_neg=0.528, this epoch 0.6800, total 4.8445
(T) | Epoch=004, loss=8.5928, con=7.8610, intent=3.1491, rec=0.0090, ilssc=5.2949, il_q=8, il_seed=0.737, il_sim=0.489, il_conn=0.012, il_uniq=8.0, il_neg=0.478, this epoch 0.6777, total 5.5222
(T) | Epoch=005, loss=8.5708, con=7.8418, intent=2.9592, rec=0.0121, ilssc=5.2909, il_q=8, il_seed=0.807, il_sim=0.454, il_conn=0.007, il_uniq=8.0, il_neg=0.435, this epoch 0.6895, total 6.2117
(T) | Epoch=006, loss=8.4230, con=7.6944, intent=2.8783, rec=0.0156, ilssc=5.2747, il_q=8, il_seed=0.841, il_sim=0.442, il_conn=0.001, il_uniq=8.0, il_neg=0.423, this epoch 0.6818, total 6.8935
(T) | Epoch=007, loss=8.3147, con=7.5866, intent=2.8522, rec=0.0173, ilssc=5.2555, il_q=8, il_seed=0.845, il_sim=0.407, il_conn=0.018, il_uniq=8.0, il_neg=0.387, this epoch 0.6837, total 7.5773
(T) | Epoch=008, loss=8.2414, con=7.5107, intent=2.8078, rec=0.0116, ilssc=5.2385, il_q=8, il_seed=0.858, il_sim=0.383, il_conn=0.007, il_uniq=8.0, il_neg=0.357, this epoch 0.6785, total 8.2557
(T) | Epoch=009, loss=8.1728, con=7.4348, intent=2.7669, rec=0.0144, ilssc=5.2338, il_q=8, il_seed=0.872, il_sim=0.405, il_conn=0.003, il_uniq=8.0, il_neg=0.374, this epoch 0.6782, total 8.9340
(T) | Epoch=010, loss=8.1549, con=7.4086, intent=2.7292, rec=0.0159, ilssc=5.2381, il_q=8, il_seed=0.884, il_sim=0.399, il_conn=0.005, il_uniq=8.0, il_neg=0.376, this epoch 0.6866, total 9.6206  alpha=[pap:0.582, psp:0.418]
(T) | Epoch=011, loss=8.1361, con=7.3842, intent=2.7033, rec=0.0143, ilssc=5.2319, il_q=8, il_seed=0.894, il_sim=0.390, il_conn=0.013, il_uniq=8.0, il_neg=0.364, this epoch 0.6863, total 10.3068
(T) | Epoch=012, loss=8.0864, con=7.3357, intent=2.6813, rec=0.0149, ilssc=5.1899, il_q=8, il_seed=0.907, il_sim=0.382, il_conn=0.005, il_uniq=8.0, il_neg=0.333, this epoch 0.6876, total 10.9944
(T) | Epoch=013, loss=8.0095, con=7.2603, intent=2.6565, rec=0.0188, ilssc=5.1588, il_q=8, il_seed=0.912, il_sim=0.395, il_conn=0.003, il_uniq=8.0, il_neg=0.340, this epoch 0.6770, total 11.6714
