movie_id	tconst	title	genres	year
0	tt0015648	Battleship Potemkin	Drama,History,Thriller	1925
1	tt0017136	Metropolis	Drama,Sci-Fi	1927
2	tt0017925	The General	Action,Adventure,Comedy	1926
3	tt0018455	Sunrise	Drama,Romance	1927
4	tt0019254	The Passion of Joan of Arc	Biography,Drama,History	1928
5	tt0020629	All Quiet on the Western Front	Drama,War	1930
6	tt0021814	Dracula	Drama,Fantasy,Horror	1931
7	tt0021884	Frankenstein	Drama,Horror,Sci-Fi	1931
8	tt0022913	Freaks	Drama,Horror	1932
9	tt0023427	Scarface	Action,Crime,Drama	1932
10	tt0023969	Duck Soup	Comedy,Musical,War	1933
11	tt0025316	It Happened One Night	Comedy,Romance	1934
12	tt0025878	The Thin Man	Comedy,Crime,Mystery	1934
13	tt0026138	The Bride of Frankenstein	Drama,Horror,Sci-Fi	1935
14	tt0026778	A Night at the Opera	Comedy,Music,Musical	1935
15	tt0028950	The Grand Illusion	Drama,War	1937
16	tt0029843	The Adventures of Robin Hood	Action,Adventure,Romance	1938
17	tt0029947	Bringing Up Baby	Comedy,Family,Romance	1938
18	tt0031381	Gone with the Wind	Drama,History,Romance	1939
19	tt0031679	Mr. Smith Goes to Washington	Comedy,Drama	1939
20	tt0031885	The Rules of the Game	Comedy,Drama	1939
21	tt0031971	Stagecoach	Adventure,Drama,Western	1939
22	tt0032551	The Grapes of Wrath	Drama,History	1940
23	tt0032599	His Girl Friday	Comedy,Drama,Romance	1940
24	tt0032904	The Philadelphia Story	Comedy,Romance	1940
25	tt0032910	Pinocchio	Animation,Comedy,Family	1940
26	tt0032976	Rebecca	Drama,Mystery,Romance	1940
27	tt0033045	The Shop Around the Corner	Comedy,Drama,Romance	1940
28	tt0033563	Dumbo	Animation,Drama,Family	1941
29	tt0034492	Bambi	Animation,Drama,Family	1942
30	tt0034583	Casablanca	Drama,Romance,War	1942
31	tt0035423	Kate & Leopold	Comedy,Fantasy,Romance	2001
32	tt0035446	To Be or Not to Be	Comedy,War	1942
33	tt0036613	Arsenic and Old Lace	Comedy,Crime,Thriller	1944
34	tt0036775	Double Indemnity	Crime,Drama,Film-Noir	1944
35	tt0036868	The Best Years of Our Lives	Drama,Romance,War	1946
36	tt0037008	Laura	Drama,Film-Noir,Mystery	1944
37	tt0037382	To Have and Have Not	Adventure,Comedy,Film-Noir	1944
38	tt0037558	Brief Encounter	Drama,Romance	1945
39	tt0037884	The Lost Weekend	Drama,Film-Noir	1945
40	tt0038559	Gilda	Drama,Film-Noir,Romance	1946
41	tt0038650	It's a Wonderful Life	Drama,Family,Fantasy	1946
42	tt0038787	Notorious	Drama,Film-Noir,Romance	1946
43	tt0039628	Miracle on 34th Street	Comedy,Drama,Family	1947
44	tt0039689	Out of the Past	Crime,Drama,Film-Noir	1947
45	tt0040506	Key Largo	Action,Crime,Drama	1948
46	tt0040522	Bicycle Thieves	Drama	1948
47	tt0040724	Red River	Action,Adventure,Drama	1948
48	tt0040725	The Red Shoes	Drama,Music,Romance	1948
49	tt0040746	Rope	Crime,Drama,Mystery	1948
50	tt0040897	The Treasure of the Sierra Madre	Adventure,Drama,Western	1948
51	tt0041546	Kind Hearts and Coronets	Comedy,Crime	1949
52	tt0042041	White Heat	Action,Crime,Drama	1949
53	tt0042192	All About Eve	Drama	1950
54	tt0042546	Harvey	Comedy,Drama,Fantasy	1950
55	tt0042876	Rashomon	Crime,Drama,Mystery	1950
56	tt0043014	Sunset Blvd.	Drama,Film-Noir	1950
57	tt0043265	The African Queen	Adventure,Drama,Romance	1951
58	tt0043278	An American in Paris	Drama,Musical,Romance	1951
59	tt0043338	Ace in the Hole	Drama,Film-Noir	1951
60	tt0043456	The Day the Earth Stood Still	Drama,Sci-Fi	1951
61	tt0044081	A Streetcar Named Desire	Drama	1951
62	tt0044706	High Noon	Drama,Thriller,Western	1952
63	tt0044741	Ikiru	Drama	1952
64	tt0045061	The Quiet Man	Comedy,Drama,Romance	1952
65	tt0045152	Singin' in the Rain	Comedy,Musical,Romance	1952
66	tt0045793	From Here to Eternity	Drama,Romance,War	1953
67	tt0045810	Gentlemen Prefer Blondes	Comedy,Musical,Romance	1953
68	tt0046250	Roman Holiday	Comedy,Romance	1953
69	tt0046268	The Wages of Fear	Adventure,Drama,Thriller	1953
70	tt0046303	Shane	Drama,Western	1953
71	tt0046359	Stalag 17	Comedy,Drama,War	1953
72	tt0046438	Tokyo Story	Drama	1953
73	tt0046534	The War of the Worlds	Action,Sci-Fi,Thriller	1953
74	tt0046672	20,000 Leagues Under the Sea	Adventure,Drama,Family	1954
75	tt0046911	Diabolique	Crime,Drama,Horror	1955
76	tt0047034	Godzilla	Drama,Horror,Sci-Fi	1954
77	tt0047296	On the Waterfront	Crime,Drama,Thriller	1954
78	tt0047437	Sabrina	Comedy,Drama,Romance	1954
79	tt0047478	Seven Samurai	Action,Adventure,Drama	1954
80	tt0047528	La Strada	Drama	1954
81	tt0047673	White Christmas	Comedy,Musical,Romance	1954
82	tt0048028	East of Eden	Drama	1955
83	tt0048280	Lady and the Tramp	Adventure,Animation,Comedy	1955
84	tt0048281	The Ladykillers	Comedy,Crime	1955
85	tt0048424	The Night of the Hunter	Crime,Drama,Film-Noir	1955
86	tt0048545	Rebel Without a Cause	Drama	1955
87	tt0048605	The Seven Year Itch	Comedy,Romance	1955
88	tt0048750	The Trouble with Harry	Comedy,Mystery	1955
89	tt0049223	Forbidden Planet	Action,Adventure,Sci-Fi	1956
90	tt0049261	Giant	Drama,Western	1956
91	tt0049366	Invasion of the Body Snatchers	Drama,Horror,Sci-Fi	1956
92	tt0049406	The Killing	Crime,Drama,Film-Noir	1956
93	tt0049470	The Man Who Knew Too Much	Drama,Thriller	1956
94	tt0049730	The Searchers	Adventure,Drama,Western	1956
95	tt0049833	The Ten Commandments	Adventure,Drama	1956
96	tt0050083	12 Angry Men	Crime,Drama	1957
97	tt0050105	An Affair to Remember	Drama,Musical,Romance	1957
98	tt0050212	The Bridge on the River Kwai	Adventure,Drama,War	1957
99	tt0050419	Funny Face	Comedy,Musical,Romance	1957
100	tt0050613	Throne of Blood	Drama,History	1957
101	tt0050783	Nights of Cabiria	Drama	1957
102	tt0050825	Paths of Glory	Drama,War	1957
103	tt0050976	The Seventh Seal	Drama,Fantasy	1957
104	tt0050986	Wild Strawberries	Drama,Romance	1957
105	tt0051036	Sweet Smell of Success	Drama,Film-Noir	1957
106	tt0051201	Witness for the Prosecution	Crime,Drama,Mystery	1957
107	tt0051459	Cat on a Hot Tin Roof	Drama	1958
108	tt0051808	The Hidden Fortress	Adventure,Drama	1958
109	tt0052561	Anatomy of a Murder	Crime,Drama,Mystery	1959
110	tt0052618	Ben-Hur	Adventure,Drama,History	1959
111	tt0052893	Hiroshima Mon Amour	Drama,Romance	1959
112	tt0053198	The 400 Blows	Crime,Drama	1959
113	tt0053221	Rio Bravo	Action,Drama,Western	1959
114	tt0053291	Some Like It Hot	Comedy,Music,Romance	1959
115	tt0053472	Breathless	Crime,Drama	1960
116	tt0053604	The Apartment	Comedy,Drama,Romance	1960
117	tt0053779	La Dolce Vita	Comedy,Drama	1960
118	tt0053946	Inherit the Wind	Biography,Drama,History	1960
119	tt0054047	The Magnificent Seven	Action,Adventure,Western	1960
120	tt0054167	Peeping Tom	Drama,Horror,Thriller	1960
121	tt0054331	Spartacus	Adventure,Biography,Drama	1960
122	tt0054698	Breakfast at Tiffany's	Comedy,Drama,Romance	1961
123	tt0054953	The Guns of Navarone	Action,Adventure,Drama	1961
124	tt0054997	The Hustler	Drama,Sport	1961
125	tt0055031	Judgment at Nuremberg	Drama,War	1961
126	tt0055032	Jules and Jim	Drama,Romance	1962
127	tt0055254	One Hundred and One Dalmatians	Adventure,Animation,Comedy	1961
128	tt0055614	West Side Story	Crime,Drama,Musical	1961
129	tt0055630	Yojimbo	Action,Drama,Thriller	1961
130	tt0055928	Dr. No	Action,Adventure,Thriller	1962
131	tt0056058	Harakiri	Action,Drama,History	1962
132	tt0056111	Ivan's Childhood	Drama,War	1962
133	tt0056172	Lawrence of Arabia	Adventure,Biography,Drama	1962
134	tt0056193	Lolita	Crime,Drama,Romance	1962
135	tt0056197	The Longest Day	Action,Drama,History	1962
136	tt0056217	The Man Who Shot Liberty Valance	Drama,Western	1962
137	tt0056218	The Manchurian Candidate	Drama,Thriller	1962
138	tt0056443	Sanjuro	Action,Comedy,Crime	1962
139	tt0056592	To Kill a Mockingbird	Crime,Drama	1962
140	tt0056663	Vivre Sa Vie	Drama	1962
141	tt0056687	What Ever Happened to Baby Jane?	Drama,Horror,Thriller	1962
142	tt0056732	The Exterminating Angel	Drama,Fantasy	1962
143	tt0056801	8½	Drama	1963
144	tt0056869	The Birds	Drama,Horror,Mystery	1963
145	tt0056923	Charade	Comedy,Mystery,Romance	1963
146	tt0056937	Cleopatra	Biography,Drama,History	1963
147	tt0057012	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	Comedy	1964
148	tt0057076	From Russia with Love	Action,Adventure,Thriller	1963
149	tt0057115	The Great Escape	Adventure,Drama,History	1963
150	tt0057193	It's a Mad Mad Mad Mad World	Action,Adventure,Comedy	1963
151	tt0057197	Jason and the Argonauts	Action,Adventure,Family	1963
152	tt0057345	Contempt	Drama,Romance	1963
153	tt0057413	The Pink Panther	Comedy,Crime,Romance	1963
154	tt0057546	The Sword in the Stone	Adventure,Animation,Comedy	1963
155	tt0057565	High and Low	Crime,Drama,Mystery	1963
156	tt0058150	Goldfinger	Action,Adventure,Thriller	1964
157	tt0058182	A Hard Day's Night	Comedy,Music,Musical	1964
158	tt0058329	Marnie	Crime,Drama,Mystery	1964
159	tt0058331	Mary Poppins	Comedy,Family,Fantasy	1964
160	tt0058385	My Fair Lady	Drama,Family,Musical	1964
161	tt0058461	A Fistful of Dollars	Action,Drama,Western	1964
162	tt0058586	A Shot in the Dark	Comedy,Mystery	1964
163	tt0058777	Zulu	Drama,History,War	1964
164	tt0058946	The Battle of Algiers	Drama,War	1966
165	tt0059113	Doctor Zhivago	Drama,Romance,War	1965
166	tt0059592	Pierrot le Fou	Crime,Drama,Romance	1965
167	tt0059646	Repulsion	Drama,Horror,Thriller	1965
168	tt0059742	The Sound of Music	Biography,Drama,Family	1965
169	tt0059800	Thunderball	Action,Adventure,Thriller	1965
170	tt0060107	Andrei Rublev	Biography,Drama,History	1966
171	tt0060153	Batman: The Movie	Adventure,Comedy,Crime	1966
172	tt0060176	Blow-Up	Drama,Mystery,Thriller	1966
173	tt0060315	Django	Action,Western	1966
174	tt0060390	Fahrenheit 451	Drama,Sci-Fi	1966
175	tt0060665	A Man for All Seasons	Biography,Drama,History	1966
176	tt0060827	Persona	Drama,Thriller	1966
177	tt0061184	Who's Afraid of Virginia Woolf?	Drama	1966
178	tt0061395	Belle de Jour	Drama	1967
179	tt0061418	Bonnie and Clyde	Action,Biography,Crime	1967
180	tt0061452	Casino Royale	Comedy	1967
181	tt0061512	Cool Hand Luke	Crime,Drama	1967
182	tt0061578	The Dirty Dozen	Action,Adventure,War	1967
183	tt0061722	The Graduate	Comedy,Drama,Romance	1967
184	tt0061735	Guess Who's Coming to Dinner	Comedy,Drama	1967
185	tt0061747	Hang 'Em High	Drama,Western	1968
186	tt0061811	In the Heat of the Night	Crime,Drama,Mystery	1967
187	tt0062229	Le Samouraï	Crime,Drama,Mystery	1967
188	tt0062512	You Only Live Twice	Action,Adventure,Thriller	1967
189	tt0062711	Barbarella	Adventure,Comedy,Fantasy	1968
190	tt0062765	Bullitt	Action,Crime,Thriller	1968
191	tt0063227	The Lion in Winter	Biography,Drama,History	1968
192	tt0063374	The Odd Couple	Comedy	1968
193	tt0063385	Oliver!	Drama,Family,Musical	1968
194	tt0063415	The Party	Comedy	1968
195	tt0063462	The Producers	Comedy,Music	1967
196	tt0063518	Romeo and Juliet	Drama,Romance	1968
197	tt0063522	Rosemary's Baby	Drama,Horror	1968
198	tt0064072	Battle of Britain	Action,Drama,History	1969
199	tt0064115	Butch Cassidy and the Sundance Kid	Biography,Crime,Drama	1969
200	tt0064505	The Italian Job	Action,Comedy,Crime	1969
201	tt0064665	Midnight Cowboy	Drama	1969
202	tt0064757	On Her Majesty's Secret Service	Action,Adventure,Thriller	1969
203	tt0065126	True Grit	Adventure,Drama,Western	1969
204	tt0065207	Where Eagles Dare	Action,Adventure,War	1968
205	tt0065214	The Wild Bunch	Action,Adventure,Western	1969
206	tt0065421	The Aristocats	Adventure,Animation,Comedy	1970
207	tt0065462	Beneath the Planet of the Apes	Action,Adventure,Sci-Fi	1970
208	tt0065724	Five Easy Pieces	Drama	1970
209	tt0065938	Kelly's Heroes	Adventure,Comedy,War	1970
210	tt0065988	Little Big Man	Adventure,Comedy,Drama	1970
211	tt0066011	Love Story	Drama,Romance	1970
212	tt0066026	MASH	Comedy,Drama,War	1970
213	tt0066206	Patton	Biography,Drama,War	1970
214	tt0066434	THX 1138	Drama,Sci-Fi,Thriller	1971
215	tt0066473	Tora! Tora! Tora!	Action,Drama,History	1970
216	tt0066763	Anand	Drama,Musical	1971
217	tt0066765	And Now for Something Completely Different	Comedy	1971
218	tt0066817	Bedknobs and Broomsticks	Adventure,Animation,Comedy	1971
219	tt0066921	A Clockwork Orange	Crime,Drama,Sci-Fi	1971
220	tt0066995	Diamonds Are Forever	Action,Adventure,Thriller	1971
221	tt0066999	Dirty Harry	Action,Crime,Thriller	1971
222	tt0067065	Escape from the Planet of the Apes	Action,Sci-Fi	1971
223	tt0067093	Fiddler on the Roof	Drama,Family,Musical	1971
224	tt0067116	The French Connection	Action,Crime,Drama	1971
225	tt0067128	Get Carter	Action,Crime,Thriller	1971
226	tt0067140	Duck You Sucker	Drama,War,Western	1971
227	tt0067185	Harold and Maude	Comedy,Drama,Romance	1971
228	tt0067328	The Last Picture Show	Drama,Romance	1971
229	tt0067525	The Ωmega Man	Action,Drama,Sci-Fi	1971
230	tt0067800	Straw Dogs	Crime,Drama,Thriller	1971
231	tt0067824	The Big Boss	Action,Crime,Drama	1971
232	tt0067927	Vanishing Point	Action,Crime,Thriller	1971
233	tt0068182	Aguirre, the Wrath of God	Action,Adventure,Biography	1972
234	tt0068327	Cabaret	Drama,Musical	1972
235	tt0068361	The Discreet Charm of the Bourgeoisie	Comedy	1972
236	tt0068408	Conquest of the Planet of the Apes	Action,Sci-Fi	1972
237	tt0068473	Deliverance	Adventure,Drama,Thriller	1972
238	tt0068638	The Getaway	Action,Crime,Thriller	1972
239	tt0068646	The Godfather	Crime,Drama	1972
240	tt0068762	Jeremiah Johnson	Adventure,Drama,Western	1972
241	tt0068767	Fist of Fury	Action,Drama,Romance	1972
242	tt0069097	Play It Again, Sam	Comedy,Romance	1972
243	tt0069113	The Poseidon Adventure	Action,Adventure,Drama	1972
244	tt0069293	Solaris	Drama,Mystery,Sci-Fi	1972
245	tt0069467	Cries & Whispers	Drama	1972
246	tt0069704	American Graffiti	Comedy,Drama	1973
247	tt0069762	Badlands	Action,Crime,Drama	1973
248	tt0069768	Battle for the Planet of the Apes	Action,Sci-Fi	1973
249	tt0069947	The Day of the Jackal	Crime,Drama,Thriller	1973
250	tt0069995	Don't Look Now	Drama,Horror,Thriller	1973
251	tt0070034	Enter the Dragon	Action,Crime,Drama	1973
252	tt0070328	Live and Let Die	Action,Adventure,Thriller	1973
253	tt0070334	The Long Goodbye	Comedy,Crime,Drama	1973
254	tt0070355	Magnum Force	Action,Crime,Mystery	1973
255	tt0070379	Mean Streets	Crime,Drama,Thriller	1973
256	tt0070510	Paper Moon	Comedy,Drama	1973
257	tt0070511	Papillon	Biography,Crime,Drama	1973
258	tt0070608	Robin Hood	Adventure,Animation,Comedy	1973
259	tt0070666	Serpico	Biography,Crime,Drama	1973
260	tt0070735	The Sting	Comedy,Crime,Drama	1973
261	tt0070849	Last Tango in Paris	Drama,Romance	1972
262	tt0070909	Westworld	Action,Sci-Fi,Thriller	1973
263	tt0071129	Amarcord	Comedy,Drama	1973
264	tt0071230	Blazing Saddles	Comedy,Western	1974
265	tt0071315	Chinatown	Drama,Mystery,Thriller	1974
266	tt0071360	The Conversation	Drama,Mystery,Thriller	1974
267	tt0071402	Death Wish	Action,Crime,Drama	1974
268	tt0071562	The Godfather: Part II	Crime,Drama	1974
269	tt0071807	The Man with the Golden Gun	Action,Adventure,Thriller	1974
270	tt0071853	Monty Python and the Holy Grail	Adventure,Comedy,Fantasy	1975
271	tt0071877	Murder on the Orient Express	Crime,Drama,Mystery	1974
272	tt0072081	The Return of the Pink Panther	Comedy,Crime,Mystery	1975
273	tt0072251	The Taking of Pelham One Two Three	Action,Crime,Thriller	1974
274	tt0072308	The Towering Inferno	Action,Drama,Thriller	1974
275	tt0072431	Young Frankenstein	Comedy	1974
276	tt0072443	The Mirror	Biography,Drama	1975
277	tt0072684	Barry Lyndon	Adventure,Drama,History	1975
278	tt0072856	Death Race 2000	Action,Comedy,Sci-Fi	1975
279	tt0072890	Dog Day Afternoon	Biography,Crime,Drama	1975
280	tt0073486	One Flew Over the Cuckoo's Nest	Drama	1975
281	tt0073540	Picnic at Hanging Rock	Drama,Mystery	1975
282	tt0073629	The Rocky Horror Picture Show	Comedy,Musical	1975
283	tt0073631	Rollerball	Action,Sci-Fi,Sport	1975
284	tt0073650	Salò, or the 120 Days of Sodom	Drama,Horror,War	1975
285	tt0073707	Sholay	Action,Adventure,Comedy	1975
286	tt0074119	All the President's Men	Biography,Drama,History	1976
287	tt0074156	Assault on Precinct 13	Action,Crime,Thriller	1976
288	tt0074483	The Enforcer	Action,Crime,Thriller	1976
289	tt0074812	Logan's Run	Action,Sci-Fi	1976
290	tt0074896	The Message	Biography,Drama,History	1976
291	tt0074937	Murder by Death	Comedy,Crime,Mystery	1976
292	tt0074958	Network	Drama	1976
293	tt0075066	The Pink Panther Strikes Again	Comedy,Crime	1976
294	tt0075148	Rocky	Drama,Sport	1976
295	tt0075314	Taxi Driver	Crime,Drama	1976
296	tt0075784	A Bridge Too Far	Drama,History,War	1977
297	tt0075860	Close Encounters of the Third Kind	Drama,Sci-Fi	1977
298	tt0076363	The Many Adventures of Winnie the Pooh	Adventure,Animation,Comedy	1977
299	tt0076618	The Rescuers	Adventure,Animation,Comedy	1977
300	tt0076666	Saturday Night Fever	Drama,Music	1977
301	tt0076723	Slap Shot	Comedy,Drama,Sport	1977
302	tt0076729	Smokey and the Bandit	Action,Comedy	1977
303	tt0076752	The Spy Who Loved Me	Action,Adventure,Thriller	1977
304	tt0076759	Star Wars: Episode IV - A New Hope	Action,Adventure,Fantasy	1977
305	tt0077294	Capricorn One	Action,Adventure,Drama	1977
306	tt0077405	Days of Heaven	Drama,Romance	1978
