[log] 运行日志写入: log\run_ACM_20260714_095128.log
Using CPU
Using CPU
  [sparsify] psp.npz: 4338213 -> 344296 edges (avg_deg 1079 -> 86, top-k=50)
[data] 多关系 R=2: pap(53834 edges), psp(344296 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+ICRA  R=2 hii_heads=4 icra_heads=4 icra_dim=128
(T) | Epoch=001, loss=10.8031, con=8.2104, intent=4.9814, rec=0.0015, this epoch 267.2518, total 267.2518  alpha=[pap:0.490, psp:0.510]
(T) | Epoch=002, loss=9.9406, con=8.5715, intent=3.6807, rec=0.0016, this epoch 181.1090, total 448.3608
(T) | Epoch=003, loss=9.3639, con=8.3907, intent=3.0176, rec=0.0012, this epoch 160.8258, total 609.1866
(T) | Epoch=004, loss=9.1896, con=8.3528, intent=2.7191, rec=0.0029, this epoch 155.4227, total 764.6093
(T) | Epoch=005, loss=9.0217, con=8.2309, intent=2.6059, rec=0.0027, this epoch 171.0660, total 935.6752
(T) | Epoch=006, loss=8.8802, con=8.0844, intent=2.5917, rec=0.0044, this epoch 166.9681, total 1102.6434
(T) | Epoch=007, loss=8.6070, con=7.7893, intent=2.6101, rec=0.0062, this epoch 169.7439, total 1272.3873
(T) | Epoch=008, loss=8.5284, con=7.7005, intent=2.6088, rec=0.0089, this epoch 182.5116, total 1454.8988
(T) | Epoch=009, loss=8.5994, con=7.7446, intent=2.6233, rec=0.0100, this epoch 168.7325, total 1623.6314
(T) | Epoch=010, loss=8.5420, con=7.6764, intent=2.5950, rec=0.0126, this epoch 179.8633, total 1803.4947  alpha=[pap:0.607, psp:0.393]
(T) | Epoch=011, loss=8.4654, con=7.5864, intent=2.5879, rec=0.0134, this epoch 174.1639, total 1977.6586
(T) | Epoch=012, loss=8.3799, con=7.4874, intent=2.5931, rec=0.0144, this epoch 159.8200, total 2137.4786
(T) | Epoch=013, loss=8.3127, con=7.4130, intent=2.5847, rec=0.0136, this epoch 151.0825, total 2288.5610
(T) | Epoch=014, loss=8.2484, con=7.3510, intent=2.5533, rec=0.0153, this epoch 178.0044, total 2466.5654
(T) | Epoch=015, loss=8.2438, con=7.3462, intent=2.5363, rec=0.0148, this epoch 194.3740, total 2660.9394
(T) | Epoch=016, loss=8.1433, con=7.2400, intent=2.5323, rec=0.0168, this epoch 178.3046, total 2839.2440
(T) | Epoch=017, loss=8.0429, con=7.1319, intent=2.5344, rec=0.0115, this epoch 151.0343, total 2990.2783
(T) | Epoch=018, loss=8.0279, con=7.1140, intent=2.5300, rec=0.0082, this epoch 152.4633, total 3142.7417
(T) | Epoch=019, loss=8.0125, con=7.0994, intent=2.5216, rec=0.0076, this epoch 158.1789, total 3300.9206
(T) | Epoch=020, loss=7.9908, con=7.0783, intent=2.5172, rec=0.0092, this epoch 175.0179, total 3475.9384  alpha=[pap:0.712, psp:0.288]
(T) | Epoch=021, loss=8.0226, con=7.1095, intent=2.5112, rec=0.0092, this epoch 173.9013, total 3649.8398
(T) | Epoch=022, loss=7.9997, con=7.0849, intent=2.5018, rec=0.0065, this epoch 161.8975, total 3811.7373
(T) | Epoch=023, loss=7.9716, con=7.0570, intent=2.4902, rec=0.0088, this epoch 161.0805, total 3972.8178
(T) | Epoch=024, loss=7.9933, con=7.0832, intent=2.4825, rec=0.0079, this epoch 160.9595, total 4133.7773
(T) | Epoch=025, loss=7.9895, con=7.0834, intent=2.4810, rec=0.0084, this epoch 185.4994, total 4319.2766
(T) | Epoch=026, loss=7.9586, con=7.0522, intent=2.4850, rec=0.0072, this epoch 166.4103, total 4485.6870
(T) | Epoch=027, loss=7.9773, con=7.0706, intent=2.4855, rec=0.0077, this epoch 156.9524, total 4642.6393
(T) | Epoch=028, loss=8.0068, con=7.1029, intent=2.4834, rec=0.0077, this epoch 161.9966, total 4804.6359
(T) | Epoch=029, loss=8.0082, con=7.1099, intent=2.4779, rec=0.0084, this epoch 152.5446, total 4957.1805
(T) | Epoch=030, loss=7.9808, con=7.0876, intent=2.4689, rec=0.0083, this epoch 175.2080, total 5132.3885  alpha=[pap:0.787, psp:0.213]
(T) | Epoch=031, loss=7.9584, con=7.0668, intent=2.4626, rec=0.0103, this epoch 155.0159, total 5287.4044
(T) | Epoch=032, loss=7.9559, con=7.0638, intent=2.4597, rec=0.0093, this epoch 164.7889, total 5452.1933
(T) | Epoch=033, loss=7.9572, con=7.0670, intent=2.4573, rec=0.0080, this epoch 153.9074, total 5606.1007
(T) | Epoch=034, loss=8.0181, con=7.1323, intent=2.4539, rec=0.0100, this epoch 174.6792, total 5780.7799
(T) | Epoch=035, loss=8.0232, con=7.1423, intent=2.4496, rec=0.0105, this epoch 165.9853, total 5946.7652
(T) | Epoch=036, loss=7.9661, con=7.0846, intent=2.4441, rec=0.0109, this epoch 156.4940, total 6103.2593
(T) | Epoch=037, loss=7.9608, con=7.0799, intent=2.4388, rec=0.0112, this epoch 153.6972, total 6256.9565
(T) | Epoch=038, loss=7.9689, con=7.0894, intent=2.4343, rec=0.0107, this epoch 143.0755, total 6400.0320
(T) | Epoch=039, loss=7.9922, con=7.1156, intent=2.4306, rec=0.0105, this epoch 158.0230, total 6558.0550
(T) | Epoch=040, loss=7.9969, con=7.1238, intent=2.4269, rec=0.0112, this epoch 148.2713, total 6706.3263  alpha=[pap:0.788, psp:0.212]
(T) | Epoch=041, loss=8.0040, con=7.1342, intent=2.4227, rec=0.0118, this epoch 152.4624, total 6858.7887
(T) | Epoch=042, loss=8.0162, con=7.1473, intent=2.4199, rec=0.0117, this epoch 150.7334, total 7009.5221
(T) | Epoch=043, loss=7.9634, con=7.0933, intent=2.4156, rec=0.0106, this epoch 153.8757, total 7163.3978
(T) | Epoch=044, loss=7.9519, con=7.0799, intent=2.4114, rec=0.0096, this epoch 144.9297, total 7308.3275
(T) | Epoch=045, loss=8.0364, con=7.1655, intent=2.4079, rec=0.0104, this epoch 167.4931, total 7475.8206
(T) | Epoch=046, loss=8.0432, con=7.1741, intent=2.4058, rec=0.0108, this epoch 141.7353, total 7617.5559
(T) | Epoch=047, loss=7.9968, con=7.1301, intent=2.4045, rec=0.0103, this epoch 137.0173, total 7754.5732
(T) | Epoch=048, loss=7.9804, con=7.1171, intent=2.4037, rec=0.0103, this epoch 130.6174, total 7885.1906
(T) | Epoch=049, loss=7.9527, con=7.0917, intent=2.4026, rec=0.0093, this epoch 153.0262, total 8038.2168
(T) | Epoch=050, loss=8.0044, con=7.1468, intent=2.4009, rec=0.0087, this epoch 136.3673, total 8174.5841  alpha=[pap:0.807, psp:0.193]
(T) | Epoch=051, loss=8.0895, con=7.2356, intent=2.3991, rec=0.0092, this epoch 126.0125, total 8300.5966
(T) | Epoch=052, loss=8.0520, con=7.1984, intent=2.3975, rec=0.0093, this epoch 130.9848, total 8431.5814
(T) | Epoch=053, loss=7.9626, con=7.1075, intent=2.3962, rec=0.0098, this epoch 128.8571, total 8560.4385
(T) | Epoch=054, loss=7.9594, con=7.1051, intent=2.3952, rec=0.0102, this epoch 130.1925, total 8690.6310
(T) | Epoch=055, loss=7.9513, con=7.0986, intent=2.3944, rec=0.0119, this epoch 127.4250, total 8818.0560
(T) | Epoch=056, loss=7.9656, con=7.1161, intent=2.3930, rec=0.0146, this epoch 139.3087, total 8957.3647
(T) | Epoch=057, loss=8.0241, con=7.1789, intent=2.3912, rec=0.0157, this epoch 124.6403, total 9082.0050
(T) | Epoch=058, loss=8.0013, con=7.1575, intent=2.3881, rec=0.0163, this epoch 125.8543, total 9207.8593
(T) | Epoch=059, loss=7.9788, con=7.1347, intent=2.3855, rec=0.0119, this epoch 127.3586, total 9335.2180
(T) | Epoch=060, loss=8.0884, con=7.2461, intent=2.3816, rec=0.0107, this epoch 119.5662, total 9454.7841  alpha=[pap:0.828, psp:0.172]
(T) | Epoch=061, loss=8.1274, con=7.2855, intent=2.3790, rec=0.0106, this epoch 129.9549, total 9584.7390
(T) | Epoch=062, loss=8.0014, con=7.1555, intent=2.3771, rec=0.0100, this epoch 119.8258, total 9704.5648
(T) | Epoch=063, loss=7.9714, con=7.1220, intent=2.3755, rec=0.0081, this epoch 126.8625, total 9831.4273
(T) | Epoch=064, loss=8.1803, con=7.3342, intent=2.3743, rec=0.0073, this epoch 124.6488, total 9956.0761
(T) | Epoch=065, loss=8.2257, con=7.3830, intent=2.3713, rec=0.0076, this epoch 119.6640, total 10075.7401
(T) | Epoch=066, loss=8.1135, con=7.2718, intent=2.3673, rec=0.0075, this epoch 123.8799, total 10199.6200
(T) | Epoch=067, loss=8.0882, con=7.2488, intent=2.3640, rec=0.0065, this epoch 117.5944, total 10317.2144
