[log] 运行日志写入: log\run_ACM_20260715_152257.log
Using CPU
Using CPU
  [cs_full_graph] ACM: merged ['pap.npz', 'psp.npz'] -> 4359766 directed edges (no sparsify)
  [sparsify] psp.npz: 4338213 -> 344296 edges (avg_deg 1079 -> 86, top-k=50)
[data] 多关系 R=2: pap(53834 edges), psp(344296 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+ICRA  R=2 hii_heads=4 icra_heads=4 icra_dim=128
[ckpt] 从 checkpoints\ckpt_ACM_hii.pt 恢复, 已完成 200 轮, 从第 201 轮继续
[AC] 训练 Actor-Critic 对抗图生成器 (100 轮)...
[AC] 开始训练 2026-07-15 15:23:04
[AC] Epoch=001, avg_return=880.8642, loss=7800.2742, this epoch 32.83s, total 32.83s
[AC] Epoch=002, avg_return=1305.8628, loss=11615.5532, this epoch 50.81s, total 83.64s
[AC] Epoch=003, avg_return=1466.4195, loss=13064.5266, this epoch 58.48s, total 142.12s
[AC] Epoch=004, avg_return=1243.8775, loss=11042.9994, this epoch 55.89s, total 198.01s
[AC] Epoch=005, avg_return=1657.7272, loss=14351.7537, this epoch 83.21s, total 281.23s
[AC] Epoch=006, avg_return=2184.8943, loss=18878.2711, this epoch 97.23s, total 378.45s
[AC] Epoch=007, avg_return=1920.6559, loss=15655.4307, this epoch 97.35s, total 475.80s
[AC] Epoch=008, avg_return=2176.8621, loss=17071.2254, this epoch 108.71s, total 584.51s
[AC] Epoch=009, avg_return=2839.8241, loss=22372.2314, this epoch 139.65s, total 724.16s
[AC] Epoch=010, avg_return=2504.9831, loss=18384.6337, this epoch 145.20s, total 869.36s
[AC] Epoch=011, avg_return=4046.9392, loss=30368.6384, this epoch 221.79s, total 1091.15s
[AC] Epoch=012, avg_return=3746.1143, loss=24590.7064, this epoch 237.19s, total 1328.34s
[AC] Epoch=013, avg_return=4937.4026, loss=34298.3679, this epoch 255.60s, total 1583.94s
[AC] Epoch=014, avg_return=4143.7913, loss=25738.1446, this epoch 283.91s, total 1867.85s
[AC] Epoch=015, avg_return=4764.6336, loss=28298.8665, this epoch 396.02s, total 2263.87s
[AC] Epoch=016, avg_return=5643.7152, loss=33328.4946, this epoch 439.26s, total 2703.14s
[AC] Epoch=017, avg_return=5548.8504, loss=31671.1483, this epoch 362.09s, total 3065.23s
[AC] Epoch=018, avg_return=5538.1115, loss=29517.2997, this epoch 396.95s, total 3462.19s
[AC] Epoch=019, avg_return=6035.3392, loss=33103.8484, this epoch 448.70s, total 3910.88s
[AC] Epoch=020, avg_return=6234.3103, loss=29896.4390, this epoch 501.25s, total 4412.13s
[AC] Epoch=021, avg_return=5629.7749, loss=27711.3342, this epoch 424.79s, total 4836.92s
[AC] Epoch=022, avg_return=6498.3570, loss=27324.3626, this epoch 451.49s, total 5288.42s
[AC] Epoch=023, avg_return=7669.9293, loss=39007.3062, this epoch 497.22s, total 5785.64s
[AC] Epoch=024, avg_return=7031.4868, loss=29704.5340, this epoch 526.31s, total 6311.95s
[AC] Epoch=025, avg_return=6743.5054, loss=27576.9801, this epoch 444.94s, total 6756.89s
[AC] Epoch=026, avg_return=7891.8600, loss=36462.3367, this epoch 489.78s, total 7246.68s
[AC] Epoch=027, avg_return=7419.8256, loss=27985.2166, this epoch 527.44s, total 7774.12s
[AC] Epoch=028, avg_return=7377.2811, loss=24280.9033, this epoch 525.31s, total 8299.43s
[AC] Epoch=029, avg_return=7133.1847, loss=22144.1449, this epoch 483.18s, total 8782.61s
[AC] Epoch=030, avg_return=6830.5380, loss=14538.3188, this epoch 532.41s, total 9315.03s
[AC] Epoch=031, avg_return=7619.5371, loss=26196.4720, this epoch 529.83s, total 9844.86s
[AC] Epoch=032, avg_return=7242.8472, loss=17257.5228, this epoch 550.13s, total 10394.99s
[AC] Epoch=033, avg_return=7432.5893, loss=17419.7704, this epoch 654.43s, total 11049.42s
[AC] Epoch=034, avg_return=7658.5536, loss=17979.6102, this epoch 596.04s, total 11645.46s
[AC] Epoch=035, avg_return=7240.3443, loss=16103.0252, this epoch 746.07s, total 12391.53s
[AC] Epoch=036, avg_return=8233.7225, loss=21640.6754, this epoch 729.56s, total 13121.09s
[AC] Epoch=037, avg_return=7400.6525, loss=12684.2676, this epoch 645.68s, total 13766.77s
[AC] Epoch=038, avg_return=7726.8226, loss=11862.1920, this epoch 689.95s, total 14456.72s
[AC] Epoch=039, avg_return=7189.3905, loss=9825.5598, this epoch 503.69s, total 14960.41s
[AC] Epoch=040, avg_return=7663.7148, loss=12690.5108, this epoch 509.51s, total 15469.92s
[AC] Epoch=041, avg_return=7197.6678, loss=9801.1250, this epoch 509.16s, total 15979.09s
