[log] 运行日志写入: log\run_ACM_20260718_071845.log
Using CPU
Using CPU
  [cs_full_graph] ACM: merged ['pap.npz', 'psp.npz'] -> 4359766 directed edges (no sparsify)
  [sparsify] psp.npz: 4338213 -> 344296 edges (avg_deg 1079 -> 86, top-k=50)
[data] 多关系 R=2: pap(53834 edges), psp(344296 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+ICRA  R=2 hii_heads=4 icra_heads=4 icra_dim=128
[IGQC] 全量图邻接表就绪, lambda=0.5, pos=20 neg=512 B=8 gate=True
(T) | Epoch=001, loss=13.9655, con=8.2104, intent=4.9814, rec=0.0015, igqc=6.3248, this epoch 187.7740, total 189.3288  alpha=[pap:0.490, psp:0.510]
(T) | Epoch=002, loss=13.0412, con=8.5687, intent=3.6453, rec=0.0016, igqc=6.2101, this epoch 163.2727, total 352.6015
(T) | Epoch=003, loss=12.4666, con=8.3930, intent=3.0105, rec=0.0012, igqc=6.2110, this epoch 182.4677, total 535.0691
(T) | Epoch=004, loss=12.2968, con=8.3637, intent=2.7162, rec=0.0024, igqc=6.2054, this epoch 142.5123, total 677.5814
(T) | Epoch=005, loss=12.1808, con=8.3075, intent=2.5967, rec=0.0029, igqc=6.1782, this epoch 151.5889, total 829.1704
(T) | Epoch=006, loss=11.9780, con=8.1101, intent=2.5802, rec=0.0046, igqc=6.1649, this epoch 135.9068, total 965.0772
(T) | Epoch=007, loss=11.7226, con=7.8461, intent=2.5956, rec=0.0062, igqc=6.1345, this epoch 145.5078, total 1110.5850
(T) | Epoch=008, loss=11.7602, con=7.8636, intent=2.6060, rec=0.0112, igqc=6.1492, this epoch 140.1423, total 1250.7273
(T) | Epoch=009, loss=11.5995, con=7.7255, intent=2.6097, rec=0.0149, igqc=6.0641, this epoch 136.4860, total 1387.2133
(T) | Epoch=010, loss=11.4944, con=7.5890, intent=2.6031, rec=0.0204, igqc=6.0887, this epoch 130.2654, total 1517.4787  alpha=[pap:0.627, psp:0.373]
(T) | Epoch=011, loss=11.3659, con=7.4412, intent=2.5970, rec=0.0256, igqc=6.0930, this epoch 138.0237, total 1655.5023
(T) | Epoch=012, loss=11.3307, con=7.4010, intent=2.5985, rec=0.0258, igqc=6.0755, this epoch 130.0682, total 1785.5705
(T) | Epoch=013, loss=11.2357, con=7.3338, intent=2.5839, rec=0.0268, igqc=6.0121, this epoch 130.7015, total 1916.2720
(T) | Epoch=014, loss=11.2164, con=7.2951, intent=2.5720, rec=0.0254, igqc=6.0413, this epoch 133.2389, total 2049.5108
(T) | Epoch=015, loss=11.0942, con=7.1895, intent=2.5703, rec=0.0248, igqc=5.9887, this epoch 135.8333, total 2185.3442
(T) | Epoch=016, loss=11.1402, con=7.1961, intent=2.5793, rec=0.0172, igqc=6.0489, this epoch 132.9190, total 2318.2632
(T) | Epoch=017, loss=11.1014, con=7.1395, intent=2.5627, rec=0.0148, igqc=6.0913, this epoch 128.7501, total 2447.0133
(T) | Epoch=018, loss=11.1450, con=7.2104, intent=2.5325, rec=0.0187, igqc=6.0576, this epoch 141.4026, total 2588.4159
(T) | Epoch=019, loss=11.1634, con=7.2553, intent=2.5161, rec=0.0220, igqc=6.0176, this epoch 132.4538, total 2720.8697
(T) | Epoch=020, loss=11.1516, con=7.2415, intent=2.5105, rec=0.0202, igqc=6.0254, this epoch 138.4142, total 2859.2839  alpha=[pap:0.714, psp:0.286]
(T) | Epoch=021, loss=11.0945, con=7.1960, intent=2.5096, rec=0.0153, igqc=6.0007, this epoch 141.0540, total 3000.3379
(T) | Epoch=022, loss=11.0843, con=7.1452, intent=2.5017, rec=0.0169, igqc=6.0800, this epoch 143.5311, total 3143.8690
(T) | Epoch=023, loss=11.2124, con=7.2520, intent=2.4908, rec=0.0241, igqc=6.1321, this epoch 137.5057, total 3281.3747
(T) | Epoch=024, loss=11.1743, con=7.2617, intent=2.4885, rec=0.0197, igqc=6.0491, this epoch 127.8879, total 3409.2626
(T) | Epoch=025, loss=11.1382, con=7.1873, intent=2.4925, rec=0.0253, igqc=6.1265, this epoch 140.3909, total 3549.6535
(T) | Epoch=026, loss=11.0684, con=7.1813, intent=2.4970, rec=0.0176, igqc=5.9968, this epoch 129.8735, total 3679.5270
(T) | Epoch=027, loss=11.0700, con=7.1822, intent=2.4941, rec=0.0269, igqc=5.9931, this epoch 140.5907, total 3820.1177
(T) | Epoch=028, loss=11.1209, con=7.2121, intent=2.4872, rec=0.0231, igqc=6.0364, this epoch 125.6292, total 3945.7469
(T) | Epoch=029, loss=11.1035, con=7.1872, intent=2.4822, rec=0.0195, igqc=6.0540, this epoch 127.6542, total 4073.4011
(T) | Epoch=030, loss=10.9983, con=7.1301, intent=2.4790, rec=0.0178, igqc=5.9628, this epoch 133.8503, total 4207.2514  alpha=[pap:0.762, psp:0.238]
(T) | Epoch=031, loss=11.0631, con=7.1566, intent=2.4747, rec=0.0168, igqc=6.0451, this epoch 131.8547, total 4339.1061
(T) | Epoch=032, loss=11.0671, con=7.2110, intent=2.4689, rec=0.0223, igqc=5.9498, this epoch 126.3001, total 4465.4062
(T) | Epoch=033, loss=10.9568, con=7.1620, intent=2.4631, rec=0.0195, igqc=5.8276, this epoch 129.1113, total 4594.5176
(T) | Epoch=034, loss=10.9232, con=7.0955, intent=2.4596, rec=0.0168, igqc=5.8906, this epoch 129.0634, total 4723.5809
(T) | Epoch=035, loss=10.9553, con=7.1760, intent=2.4566, rec=0.0157, igqc=5.7979, this epoch 137.4225, total 4861.0034
(T) | Epoch=036, loss=10.9730, con=7.2239, intent=2.4538, rec=0.0135, igqc=5.7409, this epoch 130.5015, total 4991.5049
(T) | Epoch=037, loss=10.9200, con=7.1444, intent=2.4517, rec=0.0132, igqc=5.7879, this epoch 128.6011, total 5120.1060
(T) | Epoch=038, loss=10.9408, con=7.1393, intent=2.4496, rec=0.0123, igqc=5.8328, this epoch 133.8929, total 5253.9989
(T) | Epoch=039, loss=11.0519, con=7.1930, intent=2.4460, rec=0.0129, igqc=5.9465, this epoch 128.6989, total 5382.6978
(T) | Epoch=040, loss=10.9627, con=7.1693, intent=2.4410, rec=0.0158, igqc=5.8193, this epoch 131.8470, total 5514.5448  alpha=[pap:0.759, psp:0.241]
(T) | Epoch=041, loss=11.0641, con=7.1830, intent=2.4348, rec=0.0159, igqc=6.0068, this epoch 134.5447, total 5649.0895
(T) | Epoch=042, loss=11.1988, con=7.2896, intent=2.4297, rec=0.0157, igqc=6.0806, this epoch 128.3056, total 5777.3951
(T) | Epoch=043, loss=11.0813, con=7.3368, intent=2.4262, rec=0.0186, igqc=5.7722, this epoch 128.1672, total 5905.5623
(T) | Epoch=044, loss=11.0508, con=7.2833, intent=2.4215, rec=0.0214, igqc=5.8376, this epoch 125.7463, total 6031.3086
(T) | Epoch=045, loss=10.9440, con=7.2420, intent=2.4182, rec=0.0243, igqc=5.7225, this epoch 132.4433, total 6163.7518
(T) | Epoch=046, loss=11.0107, con=7.2934, intent=2.4153, rec=0.0255, igqc=5.7647, this epoch 124.1210, total 6287.8728
(T) | Epoch=047, loss=11.0757, con=7.3396, intent=2.4132, rec=0.0254, igqc=5.8094, this epoch 130.0492, total 6417.9220
(T) | Epoch=048, loss=10.9617, con=7.2576, intent=2.4106, rec=0.0259, igqc=5.7488, this epoch 127.9152, total 6545.8371
(T) | Epoch=049, loss=10.8561, con=7.1351, intent=2.4095, rec=0.0258, igqc=5.7806, this epoch 131.8329, total 6677.6700
