[log] 运行日志写入: log/run_ACM_20260805_104258.log
[config] cand_sources=embed num_cand_per_node=0 cand_label_mode=soft lambda_cand_bce=0.0 cs_topk=(5, 10, 20, 50, 'oracle') cs_w_list=(0.15, 0.2, 0.25, 0.3, 0.35) greedy_patience=1 greedy_min_gain_tol=0.0001 frontier_batch_size=2 greedy_connectivity_boost=0.0 greedy_select_mode=first_drop include_query_in_pred=False eval_perturb=none:0.0 seed=123
Using CPU
Using GPU: NVIDIA GeForce RTX 2080 Ti
  [cs_full_graph] ACM: merged ['pap.npz', 'psp.npz'] -> 4359766 directed edges (no sparsify)
/root/miniconda3/lib/python3.8/site-packages/scipy/sparse/_index.py:146: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
  [sparsify] pap.npz: 57853 -> 30852 edges (avg_deg 14 -> 8, top-k=10)
  [sparsify] psp.npz: 4338213 -> 75790 edges (avg_deg 1079 -> 19, top-k=10)
[data] 多关系 R=2: pap(30852 edges), psp(75790 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+ICRA  R=2 hii_heads=1 icra_heads=1 icra_dim=64
(T) | Epoch=001, loss=8.8246, con=8.4559, intent=4.9538, rec=0.0024, this epoch 1.1959, total 1.1959  alpha=[pap:0.507, psp:0.493]
(T) | Epoch=002, loss=8.6406, con=8.3659, intent=4.0417, rec=0.0058, this epoch 0.6035, total 1.7994
(T) | Epoch=003, loss=8.3394, con=8.1156, intent=3.4529, rec=0.0058, this epoch 0.6273, total 2.4267
(T) | Epoch=004, loss=8.0661, con=7.8647, intent=3.1463, rec=0.0082, this epoch 0.6364, total 3.0631
(T) | Epoch=005, loss=8.0548, con=7.8551, intent=2.9560, rec=0.0137, this epoch 0.6284, total 3.6916
(T) | Epoch=006, loss=7.9042, con=7.7034, intent=2.8744, rec=0.0130, this epoch 0.6345, total 4.3260
(T) | Epoch=007, loss=7.7936, con=7.5900, intent=2.8516, rec=0.0188, this epoch 0.6297, total 4.9557
(T) | Epoch=008, loss=7.7196, con=7.5101, intent=2.8080, rec=0.0125, this epoch 0.6396, total 5.5953
(T) | Epoch=009, loss=7.6620, con=7.4447, intent=2.7686, rec=0.0141, this epoch 0.6310, total 6.2263
(T) | Epoch=010, loss=7.6352, con=7.4107, intent=2.7321, rec=0.0170, this epoch 0.6310, total 6.8573  alpha=[pap:0.615, psp:0.385]
(T) | Epoch=011, loss=7.6111, con=7.3815, intent=2.7060, rec=0.0145, this epoch 0.6293, total 7.4866
(T) | Epoch=012, loss=7.5551, con=7.3232, intent=2.6801, rec=0.0145, this epoch 0.6370, total 8.1236
(T) | Epoch=013, loss=7.4874, con=7.2542, intent=2.6576, rec=0.0181, this epoch 0.6299, total 8.7534
(T) | Epoch=014, loss=7.4137, con=7.1787, intent=2.6385, rec=0.0154, this epoch 0.6310, total 9.3844
(T) | Epoch=015, loss=7.4920, con=7.2518, intent=2.6226, rec=0.0143, this epoch 0.6336, total 10.0180
(T) | Epoch=016, loss=7.5368, con=7.2927, intent=2.6052, rec=0.0146, this epoch 0.6340, total 10.6520
(T) | Epoch=017, loss=7.4766, con=7.2307, intent=2.5901, rec=0.0144, this epoch 0.6301, total 11.2821
(T) | Epoch=018, loss=7.4965, con=7.2504, intent=2.5764, rec=0.0150, this epoch 0.6311, total 11.9132
(T) | Epoch=019, loss=7.5018, con=7.2566, intent=2.5617, rec=0.0134, this epoch 0.6312, total 12.5443
(T) | Epoch=020, loss=7.4739, con=7.2294, intent=2.5517, rec=0.0121, this epoch 0.6300, total 13.1744  alpha=[pap:0.667, psp:0.333]
(T) | Epoch=021, loss=7.4118, con=7.1678, intent=2.5408, rec=0.0125, this epoch 0.6804, total 13.8548
(T) | Epoch=022, loss=7.4449, con=7.2018, intent=2.5287, rec=0.0135, this epoch 0.6315, total 14.4862
(T) | Epoch=023, loss=7.4936, con=7.2521, intent=2.5190, rec=0.0112, this epoch 0.6289, total 15.1151
(T) | Epoch=024, loss=7.4637, con=7.2230, intent=2.5127, rec=0.0124, this epoch 0.6371, total 15.7522
(T) | Epoch=025, loss=7.4142, con=7.1742, intent=2.5067, rec=0.0123, this epoch 0.6347, total 16.3869
(T) | Epoch=026, loss=7.4451, con=7.2048, intent=2.5028, rec=0.0118, this epoch 0.6316, total 17.0185
(T) | Epoch=027, loss=7.4622, con=7.2215, intent=2.4948, rec=0.0127, this epoch 0.6314, total 17.6499
(T) | Epoch=028, loss=7.4522, con=7.2110, intent=2.4895, rec=0.0112, this epoch 0.6333, total 18.2833
(T) | Epoch=029, loss=7.4185, con=7.1773, intent=2.4839, rec=0.0115, this epoch 0.6326, total 18.9159
(T) | Epoch=030, loss=7.3916, con=7.1511, intent=2.4767, rec=0.0112, this epoch 0.6312, total 19.5470  alpha=[pap:0.775, psp:0.225]
(T) | Epoch=031, loss=7.3983, con=7.1581, intent=2.4716, rec=0.0109, this epoch 0.6321, total 20.1791
(T) | Epoch=032, loss=7.4303, con=7.1891, intent=2.4711, rec=0.0115, this epoch 0.6307, total 20.8098
(T) | Epoch=033, loss=7.4970, con=7.2553, intent=2.4711, rec=0.0103, this epoch 0.6300, total 21.4398
(T) | Epoch=034, loss=7.5387, con=7.2976, intent=2.4702, rec=0.0109, this epoch 0.6312, total 22.0710
(T) | Epoch=035, loss=7.5470, con=7.3076, intent=2.4675, rec=0.0107, this epoch 0.6316, total 22.7026
(T) | Epoch=036, loss=7.5497, con=7.3122, intent=2.4638, rec=0.0102, this epoch 0.6304, total 23.3329
(T) | Epoch=037, loss=7.5393, con=7.3031, intent=2.4602, rec=0.0088, this epoch 0.6315, total 23.9644
(T) | Epoch=038, loss=7.5069, con=7.2713, intent=2.4575, rec=0.0076, this epoch 0.6287, total 24.5931
(T) | Epoch=039, loss=7.4856, con=7.2503, intent=2.4551, rec=0.0071, this epoch 0.6336, total 25.2267
