[log] 运行日志写入: log/run_ACM_20260805_121929.log
[config] cand_sources=embed num_cand_per_node=0 cand_label_mode=soft lambda_cand_bce=0.0 lambda_ic_spnm=0.005 ic_spnm_pos=40 ic_spnm_neg=128 ic_spnm_hard_pool=1024 cs_topk=(5, 10, 20, 50, 'oracle') cs_w_list=(0.18, 0.2, 0.22, 0.24, 0.26) greedy_patience=1 greedy_min_gain_tol=0.0001 frontier_batch_size=2 greedy_connectivity_boost=0.0 greedy_select_mode=first_drop include_query_in_pred=False eval_perturb=none:0.0 seed=123
Using CPU
Using GPU: NVIDIA GeForce RTX 2080 Ti
  [cs_full_graph] ACM: merged ['pap.npz', 'psp.npz'] -> 4359766 directed edges (no sparsify)
/root/miniconda3/lib/python3.8/site-packages/scipy/sparse/_index.py:146: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
  [sparsify] pap.npz: 57853 -> 30852 edges (avg_deg 14 -> 8, top-k=10)
  [sparsify] psp.npz: 4338213 -> 75790 edges (avg_deg 1079 -> 19, top-k=10)
[data] 多关系 R=2: pap(30852 edges), psp(75790 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+ICRA  R=2 hii_heads=1 icra_heads=1 icra_dim=64
[IC-SPNM] 全量图邻接表就绪, lambda=0.005, pos=40 neg=128 B=4 pool=1024 intent_beta=1.5 struct_beta=1.0 susp_alpha=0.0
(T) | Epoch=001, loss=8.8498, con=8.4559, intent=4.9538, rec=0.0024, ic_spnm=5.0323, ic_q=4, ic_pos=0.041, ic_neg=0.609, this epoch 1.2633, total 3.5671  alpha=[pap:0.507, psp:0.493]
(T) | Epoch=002, loss=8.6663, con=8.3660, intent=4.0451, rec=0.0057, ic_spnm=5.0418, ic_q=4, ic_pos=0.394, ic_neg=0.538, this epoch 0.6428, total 4.2099
(T) | Epoch=003, loss=8.3651, con=8.1163, intent=3.4541, rec=0.0058, ic_spnm=4.9808, ic_q=4, ic_pos=0.645, ic_neg=0.511, this epoch 0.6794, total 4.8893
(T) | Epoch=004, loss=8.0911, con=7.8647, intent=3.1450, rec=0.0083, ic_spnm=5.0214, ic_q=4, ic_pos=0.741, ic_neg=0.483, this epoch 0.6660, total 5.5553
(T) | Epoch=005, loss=8.0800, con=7.8555, intent=2.9550, rec=0.0135, ic_spnm=4.9527, ic_q=4, ic_pos=0.814, ic_neg=0.413, this epoch 0.6722, total 6.2275
(T) | Epoch=006, loss=7.9312, con=7.7051, intent=2.8745, rec=0.0133, ic_spnm=5.0309, ic_q=4, ic_pos=0.861, ic_neg=0.401, this epoch 0.6795, total 6.9071
(T) | Epoch=007, loss=7.8166, con=7.5889, intent=2.8468, rec=0.0184, ic_spnm=4.9137, ic_q=4, ic_pos=0.852, ic_neg=0.382, this epoch 0.6625, total 7.5696
(T) | Epoch=008, loss=7.7454, con=7.5105, intent=2.8070, rec=0.0124, ic_spnm=5.0794, ic_q=4, ic_pos=0.877, ic_neg=0.378, this epoch 0.6765, total 8.2460
(T) | Epoch=009, loss=7.6891, con=7.4470, intent=2.7672, rec=0.0141, ic_spnm=4.9768, ic_q=4, ic_pos=0.880, ic_neg=0.345, this epoch 0.6754, total 8.9215
(T) | Epoch=010, loss=7.6622, con=7.4125, intent=2.7342, rec=0.0171, ic_spnm=5.0091, ic_q=4, ic_pos=0.899, ic_neg=0.366, this epoch 0.6780, total 9.5995  alpha=[pap:0.613, psp:0.387]
(T) | Epoch=011, loss=7.6350, con=7.3807, intent=2.7041, rec=0.0153, ic_spnm=4.9782, ic_q=4, ic_pos=0.913, ic_neg=0.350, this epoch 0.6810, total 10.2806
