[log] 运行日志写入: log/run_ACM_20260805_125419.log
[config] cand_sources=embed num_cand_per_node=0 cand_label_mode=soft lambda_cand_bce=0.0 lambda_ic_spnm=0.003 ic_spnm_pos=40 ic_spnm_neg=128 ic_spnm_hard_pool=1024 ic_spnm_pos_mode=mix ic_spnm_frontier_ratio=0.5 ic_spnm_frontier_hops=2 cs_topk=(5, 10, 20, 50, 'oracle') cs_w_list=(0.18, 0.2, 0.22, 0.24, 0.26) greedy_patience=1 greedy_min_gain_tol=0.0001 frontier_batch_size=2 greedy_connectivity_boost=0.0 greedy_select_mode=first_drop include_query_in_pred=False eval_perturb=none:0.0 seed=123
Using CPU
Using GPU: NVIDIA GeForce RTX 2080 Ti
  [cs_full_graph] ACM: merged ['pap.npz', 'psp.npz'] -> 4359766 directed edges (no sparsify)
/root/miniconda3/lib/python3.8/site-packages/scipy/sparse/_index.py:146: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
  [sparsify] pap.npz: 57853 -> 30852 edges (avg_deg 14 -> 8, top-k=10)
  [sparsify] psp.npz: 4338213 -> 75790 edges (avg_deg 1079 -> 19, top-k=10)
[data] 多关系 R=2: pap(30852 edges), psp(75790 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+ICRA  R=2 hii_heads=1 icra_heads=1 icra_dim=64
[IC-SPNM] 全量图邻接表就绪, lambda=0.003, pos=40 neg=128 B=4 pool=1024 pos_mode=mix frontier_ratio=0.5 frontier_hops=2 frontier_pool=128 intent_beta=1.5 struct_beta=1.0 susp_alpha=0.0
(T) | Epoch=001, loss=8.8396, con=8.4559, intent=4.9538, rec=0.0024, ic_spnm=5.0037, ic_q=4, ic_pos=0.032, ic_neg=0.608, ic_frontier=0.01, ic_hop=1.06, ic_pos_std=0.022, ic_uniq=36.8, this epoch 1.2959, total 3.6369  alpha=[pap:0.507, psp:0.493]
(T) | Epoch=002, loss=8.6557, con=8.3658, intent=4.0413, rec=0.0058, ic_spnm=5.0674, ic_q=4, ic_pos=0.404, ic_neg=0.587, ic_frontier=0.22, ic_hop=1.22, ic_pos_std=0.027, ic_uniq=37.2, this epoch 0.7506, total 4.3876
(T) | Epoch=003, loss=8.3552, con=8.1164, intent=3.4531, rec=0.0057, ic_spnm=4.9998, ic_q=4, ic_pos=0.631, ic_neg=0.518, ic_frontier=0.31, ic_hop=1.31, ic_pos_std=0.020, ic_uniq=38.8, this epoch 0.7637, total 5.1512
(T) | Epoch=004, loss=8.0813, con=7.8651, intent=3.1458, rec=0.0084, ic_spnm=4.9763, ic_q=4, ic_pos=0.756, ic_neg=0.438, ic_frontier=0.15, ic_hop=1.15, ic_pos_std=0.017, ic_uniq=38.2, this epoch 0.7827, total 5.9339
(T) | Epoch=005, loss=8.0703, con=7.8555, intent=2.9565, rec=0.0138, ic_spnm=4.9644, ic_q=4, ic_pos=0.824, ic_neg=0.442, ic_frontier=0.19, ic_hop=1.19, ic_pos_std=0.013, ic_uniq=38.2, this epoch 0.7359, total 6.6698
(T) | Epoch=006, loss=7.9211, con=7.7051, intent=2.8744, rec=0.0133, ic_spnm=5.0028, ic_q=4, ic_pos=0.852, ic_neg=0.398, ic_frontier=0.26, ic_hop=1.26, ic_pos_std=0.014, ic_uniq=39.5, this epoch 0.7641, total 7.4339
(T) | Epoch=007, loss=7.8096, con=7.5909, intent=2.8502, rec=0.0185, ic_spnm=5.0513, ic_q=4, ic_pos=0.859, ic_neg=0.386, ic_frontier=0.35, ic_hop=1.35, ic_pos_std=0.015, ic_uniq=39.8, this epoch 0.7648, total 8.1987
(T) | Epoch=008, loss=7.7362, con=7.5116, intent=2.8070, rec=0.0124, ic_spnm=5.0609, ic_q=4, ic_pos=0.871, ic_neg=0.352, ic_frontier=0.22, ic_hop=1.22, ic_pos_std=0.012, ic_uniq=39.2, this epoch 0.7652, total 8.9639
(T) | Epoch=009, loss=7.6788, con=7.4458, intent=2.7720, rec=0.0144, ic_spnm=5.0607, ic_q=4, ic_pos=0.875, ic_neg=0.335, ic_frontier=0.44, ic_hop=1.44, ic_pos_std=0.013, ic_uniq=37.5, this epoch 0.7245, total 9.6885
(T) | Epoch=010, loss=7.6523, con=7.4124, intent=2.7341, rec=0.0171, ic_spnm=5.0007, ic_q=4, ic_pos=0.894, ic_neg=0.381, ic_frontier=0.49, ic_hop=1.49, ic_pos_std=0.007, ic_uniq=34.5, this epoch 0.7276, total 10.4161  alpha=[pap:0.615, psp:0.385]
(T) | Epoch=011, loss=7.6266, con=7.3820, intent=2.7039, rec=0.0154, ic_spnm=4.9900, ic_q=4, ic_pos=0.911, ic_neg=0.357, ic_frontier=0.14, ic_hop=1.14, ic_pos_std=0.008, ic_uniq=37.5, this epoch 0.7750, total 11.1911
(T) | Epoch=012, loss=7.5701, con=7.3229, intent=2.6794, rec=0.0147, ic_spnm=5.0449, ic_q=4, ic_pos=0.917, ic_neg=0.320, ic_frontier=0.25, ic_hop=1.25, ic_pos_std=0.008, ic_uniq=36.5, this epoch 0.7483, total 11.9394
(T) | Epoch=013, loss=7.5026, con=7.2539, intent=2.6580, rec=0.0182, ic_spnm=5.0662, ic_q=4, ic_pos=0.923, ic_neg=0.285, ic_frontier=0.29, ic_hop=1.29, ic_pos_std=0.008, ic_uniq=36.2, this epoch 0.7705, total 12.7099
