[log] 运行日志写入: log/run_ACM_20260805_144906.log
[config] cand_sources=embed num_cand_per_node=0 cand_label_mode=soft lambda_cand_bce=0.0 lambda_ic_spnm=0.0 ic_spnm_pos=20 ic_spnm_neg=256 ic_spnm_hard_pool=2048 ic_spnm_pos_mode=neighbor ic_spnm_frontier_ratio=0.5 ic_spnm_frontier_hops=2 relation_fusion=transformer cs_topk=(5, 10, 20, 50, 'oracle') cs_w_list=(0.18, 0.2, 0.22, 0.24, 0.26) greedy_patience=1 greedy_min_gain_tol=0.0001 frontier_batch_size=2 greedy_connectivity_boost=0.0 greedy_select_mode=first_drop include_query_in_pred=False eval_perturb=none:0.0 seed=123
Using CPU
Using GPU: NVIDIA GeForce RTX 2080 Ti
  [cs_full_graph] ACM: merged ['pap.npz', 'psp.npz'] -> 4359766 directed edges (no sparsify)
/root/miniconda3/lib/python3.8/site-packages/scipy/sparse/_index.py:146: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
  [sparsify] pap.npz: 57853 -> 30852 edges (avg_deg 14 -> 8, top-k=10)
  [sparsify] psp.npz: 4338213 -> 75790 edges (avg_deg 1079 -> 19, top-k=10)
[data] 多关系 R=2: pap(30852 edges), psp(75790 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+TRANSFORMER  R=2 hii_heads=1 icra_heads=1 icra_dim=64
(T) | Epoch=001, loss=8.9386, con=8.5935, intent=5.0773, rec=0.0038, this epoch 1.2694, total 1.2694  alpha=[pap:0.524, psp:0.476]
(T) | Epoch=002, loss=8.5860, con=8.2915, intent=4.3178, rec=0.0079, this epoch 0.6698, total 1.9393
(T) | Epoch=003, loss=8.1919, con=7.9584, intent=3.7408, rec=0.0117, this epoch 0.7032, total 2.6425
(T) | Epoch=004, loss=8.0136, con=7.8226, intent=3.3686, rec=0.0145, this epoch 0.6942, total 3.3367
(T) | Epoch=005, loss=7.7473, con=7.5975, intent=3.0667, rec=0.0143, this epoch 0.6930, total 4.0297
(T) | Epoch=006, loss=7.6518, con=7.5135, intent=2.8970, rec=0.0171, this epoch 0.6964, total 4.7262
(T) | Epoch=007, loss=7.6524, con=7.5178, intent=2.8286, rec=0.0227, this epoch 0.7019, total 5.4280
(T) | Epoch=008, loss=7.5965, con=7.4621, intent=2.8090, rec=0.0322, this epoch 0.6985, total 6.1265
(T) | Epoch=009, loss=7.5898, con=7.4446, intent=2.7726, rec=0.0272, this epoch 0.7067, total 6.8332
(T) | Epoch=010, loss=7.5251, con=7.3720, intent=2.7334, rec=0.0219, this epoch 0.6988, total 7.5321  alpha=[pap:1.000, psp:0.000]
(T) | Epoch=011, loss=7.4757, con=7.3166, intent=2.7098, rec=0.0178, this epoch 0.6969, total 8.2289
(T) | Epoch=012, loss=7.4654, con=7.3014, intent=2.6820, rec=0.0165, this epoch 0.7036, total 8.9325
(T) | Epoch=013, loss=7.4461, con=7.2776, intent=2.6552, rec=0.0139, this epoch 0.6996, total 9.6321
(T) | Epoch=014, loss=7.4697, con=7.2961, intent=2.6217, rec=0.0111, this epoch 0.6960, total 10.3281
(T) | Epoch=015, loss=7.4807, con=7.3046, intent=2.5976, rec=0.0130, this epoch 0.6950, total 11.0231
(T) | Epoch=016, loss=7.3878, con=7.2116, intent=2.5797, rec=0.0123, this epoch 0.6975, total 11.7206
(T) | Epoch=017, loss=7.3721, con=7.1968, intent=2.5692, rec=0.0121, this epoch 0.6973, total 12.4178
(T) | Epoch=018, loss=7.3512, con=7.1771, intent=2.5572, rec=0.0128, this epoch 0.6996, total 13.1174
(T) | Epoch=019, loss=7.4241, con=7.2498, intent=2.5458, rec=0.0135, this epoch 0.6993, total 13.8167
