[log] 运行日志写入: log/run_DBLP_20260805_145852.log
[config] cand_sources=embed num_cand_per_node=0 cand_label_mode=soft lambda_cand_bce=0.0 lambda_ic_spnm=0.0 ic_spnm_pos=20 ic_spnm_neg=256 ic_spnm_hard_pool=2048 ic_spnm_pos_mode=neighbor ic_spnm_frontier_ratio=0.5 ic_spnm_frontier_hops=2 relation_fusion=transformer cs_topk=(5, 10, 20, 50, 'oracle') cs_w_list=(0.18, 0.2, 0.22, 0.24, 0.26) greedy_patience=1 greedy_min_gain_tol=0.0001 frontier_batch_size=2 greedy_connectivity_boost=0.0 greedy_select_mode=first_drop include_query_in_pred=False eval_perturb=none:0.0 seed=123
Using CPU
Using GPU: NVIDIA GeForce RTX 2080 Ti
  [cs_full_graph] DBLP: merged ['apa.npz', 'apcpa.npz', 'aptpa.npz'] -> 8947540 directed edges (no sparsify)
/root/miniconda3/lib/python3.8/site-packages/scipy/sparse/_index.py:146: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
  [sparsify] apcpa.npz: 5000495 -> 80544 edges (avg_deg 1233 -> 20, top-k=10)
  [sparsify] aptpa.npz: 7043571 -> 77930 edges (avg_deg 1736 -> 19, top-k=10)
[data] 多关系 R=3: apa(7056 edges), apcpa(80544 edges), aptpa(77930 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+TRANSFORMER  R=3 hii_heads=1 icra_heads=1 icra_dim=64
(T) | Epoch=001, loss=8.0516, con=7.6966, intent=5.1244, rec=0.0071, this epoch 1.5633, total 1.5633  alpha=[apa:0.591, apcpa:0.151, aptpa:0.258]
(T) | Epoch=002, loss=7.8730, con=7.5720, intent=4.3551, rec=0.0085, this epoch 0.9872, total 2.5506
(T) | Epoch=003, loss=7.4389, con=7.1742, intent=3.7436, rec=0.0363, this epoch 1.0045, total 3.5551
(T) | Epoch=004, loss=7.3017, con=7.0628, intent=3.3500, rec=0.0158, this epoch 1.0060, total 4.5611
(T) | Epoch=005, loss=7.2645, con=7.0370, intent=3.1097, rec=0.0134, this epoch 1.0049, total 5.5660
(T) | Epoch=006, loss=7.2135, con=6.9911, intent=2.9361, rec=0.0142, this epoch 1.0072, total 6.5732
(T) | Epoch=007, loss=7.1686, con=6.9478, intent=2.8399, rec=0.0272, this epoch 1.0053, total 7.5785
(T) | Epoch=008, loss=7.1512, con=6.9337, intent=2.7677, rec=0.0276, this epoch 1.0069, total 8.5854
(T) | Epoch=009, loss=7.1416, con=6.9191, intent=2.8016, rec=0.0188, this epoch 1.0085, total 9.5939
(T) | Epoch=010, loss=7.1192, con=6.9072, intent=2.6783, rec=0.0145, this epoch 1.0074, total 10.6013  alpha=[apa:0.948, apcpa:0.017, aptpa:0.035]
(T) | Epoch=011, loss=7.0948, con=6.8843, intent=2.6491, rec=0.0145, this epoch 1.0120, total 11.6133
(T) | Epoch=012, loss=7.0817, con=6.8719, intent=2.6315, rec=0.0158, this epoch 1.0116, total 12.6249
(T) | Epoch=013, loss=7.0677, con=6.8609, intent=2.6005, rec=0.0128, this epoch 1.0061, total 13.6310
(T) | Epoch=014, loss=7.0566, con=6.8506, intent=2.5940, rec=0.0116, this epoch 1.0088, total 14.6398
(T) | Epoch=015, loss=7.0497, con=6.8472, intent=2.5541, rec=0.0125, this epoch 1.0079, total 15.6477
(T) | Epoch=016, loss=7.0452, con=6.8434, intent=2.5463, rec=0.0128, this epoch 1.0053, total 16.6530
(T) | Epoch=017, loss=7.0359, con=6.8364, intent=2.5210, rec=0.0126, this epoch 1.0062, total 17.6592
(T) | Epoch=018, loss=7.0218, con=6.8237, intent=2.5122, rec=0.0109, this epoch 1.0038, total 18.6630
(T) | Epoch=019, loss=7.0165, con=6.8188, intent=2.4978, rec=0.0190, this epoch 1.0032, total 19.6662
(T) | Epoch=020, loss=7.0198, con=6.8227, intent=2.4898, rec=0.0144, this epoch 1.0053, total 20.6716  alpha=[apa:0.947, apcpa:0.019, aptpa:0.034]
(T) | Epoch=021, loss=7.0136, con=6.8171, intent=2.4892, rec=0.0091, this epoch 1.0803, total 21.7519
(T) | Epoch=022, loss=6.9990, con=6.8024, intent=2.4769, rec=0.0081, this epoch 1.0024, total 22.7543
(T) | Epoch=023, loss=6.9862, con=6.7893, intent=2.4721, rec=0.0067, this epoch 1.0038, total 23.7581
(T) | Epoch=024, loss=6.9844, con=6.7865, intent=2.4682, rec=0.0059, this epoch 1.0064, total 24.7645
(T) | Epoch=025, loss=6.9859, con=6.7868, intent=2.4618, rec=0.0053, this epoch 1.0033, total 25.7678
(T) | Epoch=026, loss=6.9895, con=6.7879, intent=2.4642, rec=0.0055, this epoch 1.0067, total 26.7745
(T) | Epoch=027, loss=6.9858, con=6.7819, intent=2.4556, rec=0.0052, this epoch 1.0052, total 27.7797
(T) | Epoch=028, loss=6.9792, con=6.7715, intent=2.4572, rec=0.0043, this epoch 1.0051, total 28.7848
(T) | Epoch=029, loss=6.9751, con=6.7634, intent=2.4530, rec=0.0049, this epoch 1.0049, total 29.7897
(T) | Epoch=030, loss=6.9750, con=6.7588, intent=2.4490, rec=0.0038, this epoch 1.0057, total 30.7954  alpha=[apa:0.949, apcpa:0.029, aptpa:0.022]
