[log] 运行日志写入: log/run_DBLP_20260811_112758.log
[config] cand_sources=embed num_cand_per_node=0 cand_label_mode=soft cand_dist_k=16 cand_dist_tau=0.2 lambda_cand_bce=0.0 lambda_ic_spnm=0.0 ic_spnm_pos=20 ic_spnm_neg=256 ic_spnm_hard_pool=2048 ic_spnm_pos_mode=neighbor ic_spnm_frontier_ratio=0.5 ic_spnm_frontier_hops=2 lambda_ilssc=0.1 ilssc_seed_size=8 ilssc_neg=256 ilssc_hard_pool=2048 ilssc_hops=2 ilssc_neg_mode=conservative ilssc_gate_mode=prior ilssc_high_order_beta=0.2 ilssc_warmup=10 ilssc_ramp=30 ilssc_use_intent_dist=False intent_dist_k=16 intent_dist_tau=0.2 intent_dist_beta=0.5 intent_dist_proto_mode=random intent_dist_stable=False intent_dist_update_interval=10 intent_dist_ema=0.7 intent_dist_anchor_pool=0 intent_dist_conf_tau=0.05 intent_dist_min_conf=0.0 relation_fusion=icra cs_topk=(5, 10, 20, 50, 'oracle') cs_w_list=(0.14,) greedy_patience=1 greedy_min_gain_tol=0.0001 frontier_batch_size=2 greedy_connectivity_boost=0.0 greedy_select_mode=first_drop greedy_init_seed_size=1 greedy_init_seed_hops=1 greedy_init_seed_conn_beta=0.3 greedy_high_order_beta=0.2 greedy_comm_cohesion_beta=0.05 greedy_comm_direct_beta=0.1 greedy_boundary_gamma=0.03 greedy_hse_pool_size=64 greedy_hse_normalize=True greedy_hse_density=True greedy_recall_expand_size=0 greedy_recall_min_sim_delta=0.0 include_query_in_pred=False eval_perturb=none:0.0 model_name=hse_target64 seed=123
Using CPU
Using GPU: NVIDIA GeForce RTX 2080 Ti
  [cs_full_graph] DBLP: merged ['apa.npz', 'apcpa.npz', 'aptpa.npz'] -> 8947540 directed edges (no sparsify)
/root/miniconda3/lib/python3.8/site-packages/scipy/sparse/_index.py:146: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
  [sparsify] apcpa.npz: 5000495 -> 80544 edges (avg_deg 1233 -> 20, top-k=10)
  [sparsify] aptpa.npz: 7043571 -> 77930 edges (avg_deg 1736 -> 19, top-k=10)
[data] 多关系 R=3: apa(7056 edges), apcpa(80544 edges), aptpa(77930 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+ICRA  R=3 hii_heads=1 icra_heads=1 icra_dim=64
[ILSSC] 全量图邻接表就绪, lambda=0.1, seed=8 neg=256 B=8 pool=2048 hops=2 frontier_pool=128 conn_beta=0.3 sim_beta=0.5 high_order_beta=0.2 proto_alpha=0.5 use_intent_dist=False dist_k=16 dist_tau=0.2 dist_beta=0.5 dist_proto_mode=random dist_stable=False dist_update_interval=10 dist_ema=0.7 dist_conf_tau=0.05 dist_min_conf=0.0
(T) | Epoch=001, loss=7.7095, con=7.3516, intent=5.0260, rec=0.0010, ilssc=0.0000, il_lam=0.0000, this epoch 1.5381, total 6.5226  alpha=[apa:0.340, apcpa:0.338, aptpa:0.322]
(T) | Epoch=002, loss=7.4748, con=7.1937, intent=4.1363, rec=0.0052, ilssc=0.0000, il_lam=0.0000, this epoch 0.8980, total 7.4206
(T) | Epoch=003, loss=7.2305, con=6.9819, intent=3.6067, rec=0.0104, ilssc=0.0000, il_lam=0.0000, this epoch 0.9165, total 8.3371
(T) | Epoch=004, loss=7.0910, con=6.8726, intent=3.1912, rec=0.0058, ilssc=0.0000, il_lam=0.0000, this epoch 0.9208, total 9.2579
(T) | Epoch=005, loss=7.0557, con=6.8456, intent=2.9829, rec=0.0036, ilssc=0.0000, il_lam=0.0000, this epoch 0.9147, total 10.1726
(T) | Epoch=006, loss=6.9992, con=6.7887, intent=2.8623, rec=0.0045, ilssc=0.0000, il_lam=0.0000, this epoch 0.9128, total 11.0855
(T) | Epoch=007, loss=6.9574, con=6.7434, intent=2.7936, rec=0.0031, ilssc=0.0000, il_lam=0.0000, this epoch 0.9183, total 12.0037
(T) | Epoch=008, loss=6.9475, con=6.7303, intent=2.7367, rec=0.0026, ilssc=0.0000, il_lam=0.0000, this epoch 0.9137, total 12.9175
(T) | Epoch=009, loss=6.9474, con=6.7206, intent=2.7696, rec=0.0025, ilssc=0.0000, il_lam=0.0000, this epoch 0.9202, total 13.8376
(T) | Epoch=010, loss=6.9276, con=6.7052, intent=2.6568, rec=0.0020, ilssc=0.0000, il_lam=0.0000, this epoch 0.9116, total 14.7492  alpha=[apa:0.311, apcpa:0.353, aptpa:0.336]
(T) | Epoch=011, loss=6.9296, con=6.6880, intent=2.6312, rec=0.0018, ilssc=4.7303, il_lam=0.0033, il_q=8, il_seed=0.910, il_sim=0.327, il_conn=0.000, il_dist=0.000, il_high=0.743, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.144, il_neg_dist=0.000, il_neg_high=0.419, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 3.1085, total 17.8577
(T) | Epoch=012, loss=6.9386, con=6.6794, intent=2.5946, rec=0.0013, ilssc=4.7293, il_lam=0.0067, il_q=8, il_seed=0.924, il_sim=0.335, il_conn=0.000, il_dist=0.000, il_high=0.761, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.138, il_neg_dist=0.000, il_neg_high=0.413, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 3.0892, total 20.9469
(T) | Epoch=013, loss=6.9560, con=6.6795, intent=2.5718, rec=0.0010, ilssc=4.6651, il_lam=0.0100, il_q=8, il_seed=0.930, il_sim=0.358, il_conn=0.000, il_dist=0.000, il_high=0.780, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.147, il_neg_dist=0.000, il_neg_high=0.403, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.9709, total 23.9178
(T) | Epoch=014, loss=6.9708, con=6.6759, intent=2.5555, rec=0.0010, ilssc=4.7368, il_lam=0.0133, il_q=8, il_seed=0.936, il_sim=0.343, il_conn=0.001, il_dist=0.000, il_high=0.711, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.140, il_neg_dist=0.000, il_neg_high=0.365, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.9490, total 26.8669
