[log] 运行日志写入: log/run_DBLP_20260813_103942.log
[config] cand_sources=embed num_cand_per_node=0 cand_label_mode=soft cand_dist_k=16 cand_dist_tau=0.2 lambda_cand_bce=0.0 lambda_ic_spnm=0.0 ic_spnm_pos=20 ic_spnm_neg=256 ic_spnm_hard_pool=2048 ic_spnm_pos_mode=neighbor ic_spnm_frontier_ratio=0.5 ic_spnm_frontier_hops=2 lambda_ilssc=0.0 ilssc_seed_size=8 ilssc_neg=256 ilssc_hard_pool=2048 ilssc_hops=2 ilssc_neg_mode=conservative ilssc_gate_mode=prior ilssc_high_order_beta=0.0 ilssc_local_bridge_beta=0.0 ilssc_warmup=0 ilssc_ramp=0 ilssc_use_intent_dist=False intent_dist_k=16 intent_dist_tau=0.2 intent_dist_beta=0.5 intent_dist_proto_mode=random intent_dist_stable=False intent_dist_update_interval=10 intent_dist_ema=0.7 intent_dist_anchor_pool=0 intent_dist_conf_tau=0.05 intent_dist_min_conf=0.0 relation_fusion=icra cs_topk=(5, 10, 20, 50, 'oracle') cs_w_list=(0.18, 0.2, 0.22, 0.24, 0.26) greedy_patience=1 greedy_min_gain_tol=0.0001 frontier_batch_size=2 greedy_connectivity_boost=0.0 greedy_select_mode=first_drop greedy_init_seed_size=1 greedy_init_seed_hops=1 greedy_init_seed_conn_beta=0.3 greedy_high_order_beta=0.0 greedy_comm_cohesion_beta=0.0 greedy_comm_direct_beta=0.0 greedy_boundary_gamma=0.03 greedy_hse_pool_size=0 greedy_hse_normalize=False greedy_hse_density=False greedy_hse_density_alpha=1.0 idbr_bridge_beta=0.0 idbr_bridge_steps=(2, 4) idbr_bridge_decay=1.0 idbr_bridge_max_states=50000 idbr_bridge_fanout=0 idbr_local_seed_beta=0.1 greedy_recall_expand_size=0 greedy_recall_min_sim_delta=0.0 include_query_in_pred=False eval_perturb=none:0.0 model_name=None seed=123
Using CPU
Using GPU: NVIDIA GeForce RTX 2080 Ti
  [cs_full_graph] DBLP: merged ['apa.npz', 'apcpa.npz', 'aptpa.npz'] -> 8947540 directed edges (no sparsify)
/root/miniconda3/lib/python3.8/site-packages/scipy/sparse/_index.py:146: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
  [sparsify] apcpa.npz: 5000495 -> 80544 edges (avg_deg 1233 -> 20, top-k=10)
  [sparsify] aptpa.npz: 7043571 -> 77930 edges (avg_deg 1736 -> 19, top-k=10)
[data] 多关系 R=3: apa(7056 edges), apcpa(80544 edges), aptpa(77930 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+ICRA  R=3 hii_heads=1 icra_heads=1 icra_dim=64
(T) | Epoch=001, loss=7.7095, con=7.3516, intent=5.0260, rec=0.0010, this epoch 1.4711, total 1.4711  alpha=[apa:0.340, apcpa:0.338, aptpa:0.322]
(T) | Epoch=002, loss=7.4748, con=7.1937, intent=4.1363, rec=0.0052, this epoch 0.8971, total 2.3682
(T) | Epoch=003, loss=7.2305, con=6.9819, intent=3.6067, rec=0.0104, this epoch 0.9132, total 3.2814
(T) | Epoch=004, loss=7.0910, con=6.8726, intent=3.1912, rec=0.0058, this epoch 0.9169, total 4.1983
(T) | Epoch=005, loss=7.0557, con=6.8456, intent=2.9829, rec=0.0036, this epoch 0.9137, total 5.1120
(T) | Epoch=006, loss=6.9992, con=6.7887, intent=2.8623, rec=0.0045, this epoch 0.9193, total 6.0313
(T) | Epoch=007, loss=6.9574, con=6.7434, intent=2.7936, rec=0.0031, this epoch 0.9135, total 6.9448
(T) | Epoch=008, loss=6.9475, con=6.7303, intent=2.7367, rec=0.0026, this epoch 0.9169, total 7.8617
(T) | Epoch=009, loss=6.9474, con=6.7206, intent=2.7696, rec=0.0025, this epoch 0.9172, total 8.7789
(T) | Epoch=010, loss=6.9276, con=6.7052, intent=2.6568, rec=0.0020, this epoch 0.9171, total 9.6960  alpha=[apa:0.311, apcpa:0.353, aptpa:0.336]
(T) | Epoch=011, loss=6.9138, con=6.6880, intent=2.6312, rec=0.0018, this epoch 0.9176, total 10.6136
(T) | Epoch=012, loss=6.9083, con=6.6793, intent=2.6080, rec=0.0014, this epoch 0.9423, total 11.5559
(T) | Epoch=013, loss=6.9104, con=6.6796, intent=2.5799, rec=0.0010, this epoch 0.9091, total 12.4651
(T) | Epoch=014, loss=6.9091, con=6.6762, intent=2.5680, rec=0.0011, this epoch 0.9113, total 13.3764
(T) | Epoch=015, loss=6.8982, con=6.6661, intent=2.5393, rec=0.0008, this epoch 0.9104, total 14.2868
(T) | Epoch=016, loss=6.8889, con=6.6565, intent=2.5300, rec=0.0007, this epoch 0.9101, total 15.1969
(T) | Epoch=017, loss=6.8836, con=6.6525, intent=2.5103, rec=0.0005, this epoch 0.9124, total 16.1092
(T) | Epoch=018, loss=6.8804, con=6.6496, intent=2.5025, rec=0.0005, this epoch 0.9086, total 17.0178
(T) | Epoch=019, loss=6.8751, con=6.6450, intent=2.4929, rec=0.0005, this epoch 0.9088, total 17.9266
(T) | Epoch=020, loss=6.8755, con=6.6458, intent=2.4874, rec=0.0005, this epoch 0.9086, total 18.8353  alpha=[apa:0.228, apcpa:0.408, aptpa:0.364]
(T) | Epoch=021, loss=6.8824, con=6.6528, intent=2.4851, rec=0.0003, this epoch 0.9771, total 19.8124
(T) | Epoch=022, loss=6.8829, con=6.6542, intent=2.4751, rec=0.0003, this epoch 0.9101, total 20.7225
(T) | Epoch=023, loss=6.8749, con=6.6467, intent=2.4703, rec=0.0002, this epoch 0.9111, total 21.6336
(T) | Epoch=024, loss=6.8632, con=6.6349, intent=2.4687, rec=0.0002, this epoch 0.9144, total 22.5480
