[log] 运行日志写入: log/run_IMDB_NEW_20260805_182202.log
[config] cand_sources=embed num_cand_per_node=0 cand_label_mode=soft lambda_cand_bce=0.0 lambda_ic_spnm=0.0 ic_spnm_pos=20 ic_spnm_neg=256 ic_spnm_hard_pool=2048 ic_spnm_pos_mode=neighbor ic_spnm_frontier_ratio=0.5 ic_spnm_frontier_hops=2 lambda_ilssc=0.1 ilssc_seed_size=8 ilssc_neg=256 ilssc_hops=2 relation_fusion=icra cs_topk=(5, 10, 20, 50, 'oracle') cs_w_list=(0.18, 0.2, 0.22, 0.24, 0.26) greedy_patience=1 greedy_min_gain_tol=0.0001 frontier_batch_size=2 greedy_connectivity_boost=0.0 greedy_select_mode=first_drop greedy_init_seed_size=1 greedy_init_seed_hops=1 greedy_init_seed_conn_beta=0.3 include_query_in_pred=False eval_perturb=none:0.0 seed=123
Using CPU
Using GPU: NVIDIA GeForce RTX 2080 Ti
/root/miniconda3/lib/python3.8/site-packages/scipy/sparse/_index.py:146: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
  [cs_full_graph] IMDB_NEW: merged ['mam.npz', 'mdm.npz'] -> 159228 directed edges (no sparsify)
  [sparsify] mam.npz: 143122 -> 63780 edges (avg_deg 32 -> 14, top-k=10)
[data] 多关系 R=2: mam(63780 edges), mdm(18710 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+ICRA  R=2 hii_heads=1 icra_heads=1 icra_dim=64
[ILSSC] 全量图邻接表就绪, lambda=0.1, seed=8 neg=256 B=8 hops=2 frontier_pool=128 conn_beta=0.3 sim_beta=0.5 proto_alpha=0.5
(T) | Epoch=001, loss=9.6666, con=8.7159, intent=4.8511, rec=0.0027, ilssc=5.4932, il_q=8, il_seed=0.014, il_sim=0.737, il_conn=0.075, il_uniq=8.0, il_neg=0.770, this epoch 1.1895, total 1.2631  alpha=[mam:0.501, mdm:0.499]
(T) | Epoch=002, loss=9.1299, con=8.2991, intent=3.6460, rec=0.0076, ilssc=5.4365, il_q=8, il_seed=0.523, il_sim=0.670, il_conn=0.038, il_uniq=8.0, il_neg=0.689, this epoch 0.5868, total 1.8499
(T) | Epoch=003, loss=8.8810, con=8.0930, intent=3.0748, rec=0.0079, ilssc=5.4270, il_q=8, il_seed=0.754, il_sim=0.622, il_conn=0.032, il_uniq=8.0, il_neg=0.639, this epoch 0.6004, total 2.4502
(T) | Epoch=004, loss=8.4468, con=7.6697, intent=2.8848, rec=0.0091, ilssc=5.3418, il_q=7, il_seed=0.838, il_sim=0.641, il_conn=0.025, il_uniq=8.0, il_neg=0.629, this epoch 0.6021, total 3.0524
(T) | Epoch=005, loss=8.2840, con=7.4955, intent=2.7937, rec=0.0102, ilssc=5.3869, il_q=8, il_seed=0.862, il_sim=0.567, il_conn=0.034, il_uniq=8.0, il_neg=0.585, this epoch 0.6073, total 3.6597
(T) | Epoch=006, loss=8.1620, con=7.3926, intent=2.7637, rec=0.0095, ilssc=5.1307, il_q=8, il_seed=0.864, il_sim=0.592, il_conn=0.061, il_uniq=7.4, il_neg=0.528, this epoch 0.6019, total 4.2616
(T) | Epoch=007, loss=8.0617, con=7.2653, intent=2.7452, rec=0.0078, ilssc=5.3588, il_q=8, il_seed=0.881, il_sim=0.515, il_conn=0.035, il_uniq=8.0, il_neg=0.535, this epoch 0.6163, total 4.8780
(T) | Epoch=008, loss=7.9751, con=7.1824, intent=2.7109, rec=0.0071, ilssc=5.3316, il_q=8, il_seed=0.883, il_sim=0.433, il_conn=0.053, il_uniq=8.0, il_neg=0.444, this epoch 0.5825, total 5.4604
(T) | Epoch=009, loss=7.9130, con=7.1497, intent=2.6925, rec=0.0057, ilssc=5.0459, il_q=8, il_seed=0.890, il_sim=0.502, il_conn=0.037, il_uniq=8.0, il_neg=0.438, this epoch 0.5997, total 6.0601
(T) | Epoch=010, loss=7.8978, con=7.1070, intent=2.6791, rec=0.0050, ilssc=5.3270, il_q=7, il_seed=0.895, il_sim=0.430, il_conn=0.031, il_uniq=8.0, il_neg=0.451, this epoch 0.6042, total 6.6644  alpha=[mam:0.595, mdm:0.405]
(T) | Epoch=011, loss=7.8754, con=7.0926, intent=2.6597, rec=0.0068, ilssc=5.2581, il_q=8, il_seed=0.903, il_sim=0.387, il_conn=0.068, il_uniq=8.0, il_neg=0.402, this epoch 0.6002, total 7.2646
(T) | Epoch=012, loss=7.8712, con=7.0762, intent=2.6167, rec=0.0053, ilssc=5.4232, il_q=8, il_seed=0.920, il_sim=0.317, il_conn=0.079, il_uniq=8.0, il_neg=0.384, this epoch 0.6090, total 7.8736
(T) | Epoch=013, loss=7.8133, con=7.0414, intent=2.6019, rec=0.0051, ilssc=5.2102, il_q=8, il_seed=0.932, il_sim=0.412, il_conn=0.041, il_uniq=8.0, il_neg=0.393, this epoch 0.6009, total 8.4745
(T) | Epoch=014, loss=7.8239, con=7.0546, intent=2.5842, rec=0.0056, ilssc=5.2026, il_q=8, il_seed=0.938, il_sim=0.441, il_conn=0.039, il_uniq=8.0, il_neg=0.431, this epoch 0.6113, total 9.0858
(T) | Epoch=015, loss=7.8329, con=7.0626, intent=2.5642, rec=0.0045, ilssc=5.2368, il_q=8, il_seed=0.944, il_sim=0.372, il_conn=0.046, il_uniq=8.0, il_neg=0.399, this epoch 0.5981, total 9.6839
(T) | Epoch=016, loss=7.7989, con=7.0336, intent=2.5508, rec=0.0046, ilssc=5.2012, il_q=8, il_seed=0.949, il_sim=0.423, il_conn=0.048, il_uniq=8.0, il_neg=0.407, this epoch 0.5995, total 10.2834
(T) | Epoch=017, loss=7.7996, con=7.0367, intent=2.5374, rec=0.0048, ilssc=5.1906, il_q=8, il_seed=0.951, il_sim=0.385, il_conn=0.049, il_uniq=8.0, il_neg=0.393, this epoch 0.6029, total 10.8863
(T) | Epoch=018, loss=7.8066, con=7.0441, intent=2.5195, rec=0.0063, ilssc=5.2045, il_q=8, il_seed=0.956, il_sim=0.420, il_conn=0.028, il_uniq=8.0, il_neg=0.384, this epoch 0.5969, total 11.4832
(T) | Epoch=019, loss=7.7643, con=7.0109, intent=2.5186, rec=0.0054, ilssc=5.1171, il_q=7, il_seed=0.957, il_sim=0.384, il_conn=0.040, il_uniq=8.0, il_neg=0.382, this epoch 0.5936, total 12.0768
(T) | Epoch=020, loss=7.7520, con=6.9938, intent=2.5121, rec=0.0053, ilssc=5.1702, il_q=8, il_seed=0.955, il_sim=0.383, il_conn=0.038, il_uniq=8.0, il_neg=0.371, this epoch 0.6158, total 12.6925  alpha=[mam:0.630, mdm:0.370]
(T) | Epoch=021, loss=7.7766, con=7.0158, intent=2.5215, rec=0.0055, ilssc=5.1849, il_q=8, il_seed=0.955, il_sim=0.346, il_conn=0.045, il_uniq=8.0, il_neg=0.347, this epoch 0.6248, total 13.3173
(T) | Epoch=022, loss=7.8009, con=7.0252, intent=2.5119, rec=0.0055, ilssc=5.3441, il_q=8, il_seed=0.958, il_sim=0.298, il_conn=0.067, il_uniq=8.0, il_neg=0.360, this epoch 0.5989, total 13.9162
(T) | Epoch=023, loss=7.7879, con=7.0213, intent=2.5032, rec=0.0058, ilssc=5.2631, il_q=8, il_seed=0.960, il_sim=0.326, il_conn=0.050, il_uniq=8.0, il_neg=0.326, this epoch 0.6093, total 14.5255
(T) | Epoch=024, loss=7.7750, con=7.0176, intent=2.4996, rec=0.0047, ilssc=5.1775, il_q=8, il_seed=0.960, il_sim=0.346, il_conn=0.047, il_uniq=8.0, il_neg=0.346, this epoch 0.6030, total 15.1284
(T) | Epoch=025, loss=7.7546, con=7.0060, intent=2.4942, rec=0.0041, ilssc=5.0955, il_q=8, il_seed=0.961, il_sim=0.414, il_conn=0.064, il_uniq=8.0, il_neg=0.367, this epoch 0.6022, total 15.7306
(T) | Epoch=026, loss=7.7660, con=7.0030, intent=2.4859, rec=0.0047, ilssc=5.2487, il_q=8, il_seed=0.966, il_sim=0.352, il_conn=0.047, il_uniq=8.0, il_neg=0.360, this epoch 0.6074, total 16.3380
(T) | Epoch=027, loss=7.7808, con=7.0059, intent=2.4768, rec=0.0052, ilssc=5.3759, il_q=8, il_seed=0.965, il_sim=0.302, il_conn=0.079, il_uniq=8.0, il_neg=0.360, this epoch 0.6125, total 16.9505
(T) | Epoch=028, loss=7.7605, con=6.9981, intent=2.4780, rec=0.0041, ilssc=5.2519, il_q=8, il_seed=0.969, il_sim=0.343, il_conn=0.052, il_uniq=8.0, il_neg=0.348, this epoch 0.6003, total 17.5508
(T) | Epoch=029, loss=7.7612, con=6.9948, intent=2.4655, rec=0.0047, ilssc=5.3061, il_q=8, il_seed=0.971, il_sim=0.334, il_conn=0.064, il_uniq=8.0, il_neg=0.346, this epoch 0.6110, total 18.1618
(T) | Epoch=030, loss=7.7489, con=6.9963, intent=2.4639, rec=0.0048, ilssc=5.1725, il_q=8, il_seed=0.971, il_sim=0.363, il_conn=0.087, il_uniq=8.0, il_neg=0.358, this epoch 0.6011, total 18.7628  alpha=[mam:0.608, mdm:0.392]
(T) | Epoch=031, loss=7.7428, con=6.9900, intent=2.4594, rec=0.0048, ilssc=5.1792, il_q=8, il_seed=0.972, il_sim=0.409, il_conn=0.047, il_uniq=8.0, il_neg=0.398, this epoch 0.6003, total 19.3632
(T) | Epoch=032, loss=7.7587, con=7.0033, intent=2.4586, rec=0.0052, ilssc=5.2071, il_q=8, il_seed=0.977, il_sim=0.378, il_conn=0.041, il_uniq=8.0, il_neg=0.359, this epoch 0.6002, total 19.9634
(T) | Epoch=033, loss=7.7894, con=7.0411, intent=2.4512, rec=0.0056, ilssc=5.1398, il_q=8, il_seed=0.976, il_sim=0.414, il_conn=0.109, il_uniq=7.5, il_neg=0.369, this epoch 0.6115, total 20.5749
(T) | Epoch=034, loss=7.7947, con=7.0487, intent=2.4471, rec=0.0049, ilssc=5.1186, il_q=8, il_seed=0.977, il_sim=0.442, il_conn=0.026, il_uniq=8.0, il_neg=0.389, this epoch 0.5845, total 21.1594
(T) | Epoch=035, loss=7.7738, con=7.0159, intent=2.4443, rec=0.0054, ilssc=5.2386, il_q=7, il_seed=0.978, il_sim=0.418, il_conn=0.044, il_uniq=8.0, il_neg=0.423, this epoch 0.5951, total 21.7546
(T) | Epoch=036, loss=7.7465, con=6.9864, intent=2.4434, rec=0.0052, ilssc=5.2598, il_q=8, il_seed=0.979, il_sim=0.369, il_conn=0.041, il_uniq=7.9, il_neg=0.390, this epoch 0.6036, total 22.3581
(T) | Epoch=037, loss=7.7326, con=6.9870, intent=2.4439, rec=0.0057, ilssc=5.1136, il_q=8, il_seed=0.975, il_sim=0.403, il_conn=0.178, il_uniq=7.1, il_neg=0.336, this epoch 0.6128, total 22.9709
(T) | Epoch=038, loss=7.7493, con=6.9975, intent=2.4400, rec=0.0062, ilssc=5.1790, il_q=8, il_seed=0.977, il_sim=0.411, il_conn=0.027, il_uniq=8.0, il_neg=0.389, this epoch 0.5992, total 23.5701
(T) | Epoch=039, loss=7.7637, con=7.0019, intent=2.4468, rec=0.0062, ilssc=5.2716, il_q=8, il_seed=0.976, il_sim=0.371, il_conn=0.032, il_uniq=8.0, il_neg=0.396, this epoch 0.6002, total 24.1703
(T) | Epoch=040, loss=7.7338, con=6.9927, intent=2.4397, rec=0.0065, ilssc=5.0752, il_q=8, il_seed=0.976, il_sim=0.412, il_conn=0.037, il_uniq=8.0, il_neg=0.357, this epoch 0.6046, total 24.7749  alpha=[mam:0.604, mdm:0.396]
(T) | Epoch=041, loss=7.7399, con=6.9843, intent=2.4345, rec=0.0071, ilssc=5.2149, il_q=8, il_seed=0.978, il_sim=0.393, il_conn=0.041, il_uniq=8.0, il_neg=0.377, this epoch 0.6378, total 25.4127
(T) | Epoch=042, loss=7.7708, con=7.0109, intent=2.4319, rec=0.0064, ilssc=5.2672, il_q=8, il_seed=0.978, il_sim=0.362, il_conn=0.040, il_uniq=8.0, il_neg=0.372, this epoch 0.5961, total 26.0088
(T) | Epoch=043, loss=7.7803, con=7.0362, intent=2.4270, rec=0.0063, ilssc=5.1121, il_q=8, il_seed=0.980, il_sim=0.467, il_conn=0.041, il_uniq=8.0, il_neg=0.420, this epoch 0.6022, total 26.6110
(T) | Epoch=044, loss=7.7766, con=7.0142, intent=2.4237, rec=0.0065, ilssc=5.2976, il_q=8, il_seed=0.981, il_sim=0.362, il_conn=0.044, il_uniq=8.0, il_neg=0.409, this epoch 0.5976, total 27.2086
(T) | Epoch=045, loss=7.7295, con=6.9873, intent=2.4238, rec=0.0069, ilssc=5.0995, il_q=7, il_seed=0.980, il_sim=0.445, il_conn=0.032, il_uniq=8.0, il_neg=0.406, this epoch 0.5937, total 27.8023
(T) | Epoch=046, loss=7.7688, con=7.0052, intent=2.4216, rec=0.0057, ilssc=5.3172, il_q=7, il_seed=0.982, il_sim=0.380, il_conn=0.070, il_uniq=8.0, il_neg=0.404, this epoch 0.5970, total 28.3993
(T) | Epoch=047, loss=7.7678, con=7.0157, intent=2.4175, rec=0.0058, ilssc=5.2061, il_q=8, il_seed=0.983, il_sim=0.410, il_conn=0.038, il_uniq=8.0, il_neg=0.384, this epoch 0.6009, total 29.0002
(T) | Epoch=048, loss=7.7294, con=6.9855, intent=2.4179, rec=0.0056, ilssc=5.1235, il_q=8, il_seed=0.984, il_sim=0.430, il_conn=0.025, il_uniq=8.0, il_neg=0.392, this epoch 0.5976, total 29.5978
(T) | Epoch=049, loss=7.7058, con=6.9541, intent=2.4135, rec=0.0058, ilssc=5.2067, il_q=8, il_seed=0.983, il_sim=0.394, il_conn=0.051, il_uniq=8.0, il_neg=0.386, this epoch 0.6129, total 30.2107
(T) | Epoch=050, loss=7.7096, con=6.9638, intent=2.4174, rec=0.0050, ilssc=5.1454, il_q=8, il_seed=0.983, il_sim=0.389, il_conn=0.034, il_uniq=8.0, il_neg=0.369, this epoch 0.5921, total 30.8028  alpha=[mam:0.614, mdm:0.386]
